zipcode,average_agi,n_returns
95562,40121,1160
95563,44614,210
95564,34343,160
95565,38440,370
95567,52475,830
95570,63912,1130
95573,57463,690
95585,22023,130
95589,45248,470
95601,56553,150
95602,83944,8160
95603,75093,12570
95604,69158,1670
95605,43994,5750
95606,330566,120
95607,61391,120
95608,78027,28570
95610,49527,20990
95612,124072,650
95614,81551,1920
95615,50225,430
95616,91183,15930
95618,114133,10800
95619,56576,2590
95620,63335,9930
95621,48089,20270
95623,68262,2230
95624,70882,27960
95625,62730,200
95626,56226,2680
95627,53579,1700
95628,86059,20760
95629,66772,440
95630,106067,31900
95631,67535,2850
95632,57987,13450
95633,60053,1370
95634,57205,1350
95635,59463,520
95636,52875,410
95637,56230,130
95638,72747,1010
95639,54085,140
95640,58972,3670
95641,49825,810
95642,68204,3540
95645,47914,690
95648,82052,24180
95650,128174,6350
95651,106307,380
95652,37246,260
95653,39724,250
95655,74421,1770
95658,111385,3140
95659,71809,310
95660,34793,13690
95661,89784,15060
95662,68995,15560
95663,99150,1380
95664,83875,650
95665,63120,2090
95666,57143,2250
95667,68712,16650
95668,67600,360
95669,71271,1190
95670,60019,25530
95672,98599,2190
95673,48353,6730
95674,73747,360
95675,37250,120
95677,79028,12420
95678,65676,20670
95681,49500,570
95682,83364,14460
95683,115712,3170
95684,59330,1210
95685,67337,2210
95686,39437,480
95687,66600,28900
95688,83633,17730
95689,75971,640
95690,57530,1100
95691,65543,16930
95692,58359,2130
95693,104567,3290
95694,69763,4560
95695,65407,16920
95697,45845,330
95698,84566,120
95701,61947,440
95703,64848,880
95709,70395,2280
95713,64722,3620
95714,50194,170
95717,60109,110
95722,104846,2450
95726,60544,3900
95728,66158,240
95736,65051,640
95742,90572,5690
95746,175499,10480
95747,92048,29580
95757,80495,19840
95758,67035,28720
95762,158593,20020
95765,99763,16420
95776,58583,11750
95811,64605,4010
95814,64427,4220
95815,34683,9770
95816,76410,10340
95817,49942,6180
95818,90831,10960
95819,113918,8990
95820,41943,15350
95821,54794,16050
95822,52400,20120
95823,35955,31110
95824,30913,11360
95825,50102,15290
95826,53855,17580
95827,49630,10060
95828,39088,25030
95829,66463,13260
95830,96652,360
95831,80534,21610
95832,33786,4440
95833,50656,17850
95834,56696,13060
95835,76871,16740
95837,152727,110
95838,35029,15560
95841,43645,8940
95842,39124,13890
95843,52343,20370
95864,140317,11440
95901,44277,13000
95903,38581,820
95912,65935,2310
95914,42860,350
95916,41551,450
95917,50633,1310
95918,84485,900
95919,43357,450
95920,70216,120
95922,41044,180
95925,52672,110
95926,53294,15220
95928,65663,14760
95932,58008,3300
95934,45390,110
95935,41461,260
95936,52906,150
95937,51551,560
95938,84155,1860
95939,45135,140
95941,44292,140
95942,71893,620
95943,105440,350
95945,55919,11500
95946,71434,4630
95947,47155,700
95948,48382,4400
95949,69330,8880
95950,43319,210
95951,37829,1170
95953,48090,4060
95954,43425,4590
95955,74212,620
95956,59705,170
95957,57331,290
95959,75286,8520
95960,37277,490
95961,45844,9820
95962,51451,640
95963,48070,6410
95965,40711,7010
95966,48144,10850
95968,36428,780
95969,53043,11160
95970,65853,260
95971,54901,2710
95973,68670,15490
95974,88166,150
95975,55019,760
95977,53646,630
95979,46337,160
95982,64591,1480
95983,52366,180
95987,46954,2830
95988,50128,3670
95991,46784,15940
95993,62647,15400
96001,64800,13770
96002,51362,13860
96003,54450,18510
96006,51880,200
96007,45650,8960
96008,70218,710
96009,47190,210
96013,46816,1600
96015,43300,130
96016,61086,150
96019,42659,3860
96020,53287,1160
96021,41314,6140
96022,55973,6370
96023,40257,450
96024,48787,310
96025,38950,890
96027,52176,850
96028,55762,560
96032,44688,930
96033,36243,160
96034,43890,110
96035,39512,1160
96037,52375,160
96038,39776,260
96039,38143,390
96041,42307,710
96044,41271,380
96047,54796,310
96048,44392,250
96049,86860,1170
96050,40250,140
96051,54278,460
96052,47727,440
96054,33809,110
96055,48790,1430
96056,55238,620
96057,43152,530
96058,32936,330
96059,53930,200
96062,69855,470
96064,44580,1620
96065,40133,150
96067,54705,3510
96069,54532,340
96073,88702,2190
96080,50730,11650
96084,49117,170
96087,59202,470
96088,50554,1880
96090,41455,200
96091,54241,240
96092,50085,200
96093,49422,1860
96094,49035,2730
96096,57380,300
96097,46210,4310
96101,46818,2010
96103,63625,760
96104,42567,340
96105,55135,170
96106,103914,210
96107,46235,420
96109,47962,320
96113,45720,350
96114,69209,1210
96117,50528,140
96118,47721,610
96120,55560,380
96121,60562,160
96122,47277,1660
96124,56953,130
96125,52550,100
96126,61200,130
96128,60966,240
96130,54905,5910
96134,44230,850
96137,54158,1180
96140,91144,630
96141,64342,350
96142,60186,370
96143,46723,1900
96145,78753,2300
96146,90685,710
96148,68137,400
96150,53405,8090
96155,65833,510
96161,109692,5700
80002,61356,9400
80003,53242,18350
80004,66998,18320
80005,89145,14360
80007,141999,6340
80010,32461,17000
80011,36127,23400
80012,40879,23620
80013,54460,35900
80014,55030,20930
80015,74622,31760
80016,116363,24760
80017,43431,17520
80018,72022,5770
80019,53583,1590
80020,76608,24850
80021,66357,18530
80022,53490,21640
80023,144390,10140
80024,31176,170
80025,80617,170
80026,87217,15180
80027,112687,16300
80030,42150,7390
80031,72368,18510
80033,59485,13350
80045,44761,390
80101,61330,130
80102,70422,2710
80103,58299,1120
80104,85457,15010
80105,52396,560
80106,82440,2080
80107,87485,6310
80108,177753,12160
80109,105332,10060
80110,46482,11500
80111,157286,15610
80112,103148,16750
80113,209480,11300
80116,143191,2200
80117,73260,1300
80118,148448,2900
80120,73563,14850
80121,177517,9270
80122,90577,16020
80123,94241,23670
80124,128462,10740
80125,117345,4960
80126,124059,19990
80127,104722,22310
80128,78827,18810
80129,103267,14170
80130,104575,12360
80131,61650,140
80132,107085,11640
80133,67506,1260
80134,108267,32050
80135,141757,2060
80136,66483,2540
80137,82306,590
80138,105293,14780
80202,151077,9230
80203,59169,13770
80204,52336,15350
80205,59439,17450
80206,161648,14710
80207,77437,10700
80209,181669,14190
80210,123486,18070
80211,93121,19330
80212,86785,10260
80214,45988,12650
80215,70045,9850
80216,39843,6910
80218,104363,11910
80219,36214,28130
80220,113956,18840
80221,43646,19380
80222,66325,11380
80223,48892,9570
80224,68407,9660
80226,57179,16910
80227,68468,18400
80228,84677,17980
80229,42201,24420
80230,140991,4250
80231,58338,18270
80232,56046,11400
80233,50222,23250
80234,65723,13890
80235,74548,3930
80236,48707,7550
80237,94214,12370
80238,147358,9180
80239,36981,18600
80241,67912,15780
80246,84077,7790
80247,45257,14480
80249,51287,14190
80260,36999,15460
80301,104664,13710
80302,135228,10650
80303,98832,11490
80304,146880,13890
80305,100498,8730
80401,105106,19610
80403,129787,10160
80420,52338,390
80421,67440,3810
80422,65969,1780
80424,86875,5810
80425,64584,130
80427,45053,540
80428,87032,340
80432,48657,140
80433,101498,4360
80435,65924,4810
80436,58721,280
80438,48218,270
80439,151413,11110
80440,56930,1210
80442,71524,1370
80443,79269,2700
80444,57353,600
80446,61248,2010
80447,76057,840
80449,51352,420
80451,57416,300
80452,59301,1730
80453,68373,190
80454,87881,800
80455,66207,260
80456,76254,220
80457,67371,450
80459,53051,1040
80461,47060,3300
80465,105993,7970
80466,80825,1930
80467,66202,920
80469,48413,150
80470,92823,1730
80475,53072,110
80477,116399,3840
80478,81814,480
80480,49329,510
80481,67044,270
80482,74460,1250
80483,49085,270
80487,107156,4750
80488,85760,1490
80497,59571,710
80498,87597,2730
80501,50143,20130
80503,115103,16090
80504,78646,25330
80510,74786,220
80512,81428,990
80513,82416,6400
80514,55400,2470
80515,57031,350
80516,106513,12220
80517,73591,5300
80520,56489,990
80521,50525,13610
80524,80063,17590
80525,75556,26640
80526,63336,22100
80528,111533,9720
80530,61833,2390
80532,74962,160
80534,73712,7660
80535,60903,1490
80536,81702,900
80537,63276,20830
80538,68366,23280
80540,94440,2390
80542,86672,2250
80543,55773,3220
80544,125568,290
80545,52667,430
80546,67015,200
80547,175017,1590
80549,63375,5310
80550,96176,13530
80601,56812,17030
80602,93301,16610
80603,66348,6350
80610,65648,1360
80611,59520,290
80612,55961,260
80615,77485,3820
80620,42279,8540
80621,54811,6170
80622,59369,130
80623,41376,470
80624,67304,460
80631,39842,19090
80634,63795,28010
80640,63377,5480
80642,71594,1930
80643,72496,1530
80644,66169,1390
80645,57966,2010
80648,61083,530
80649,52468,160
80650,56294,760
80651,65233,2130
80652,67522,270
80653,59905,340
80654,60211,1140
80701,51233,7260
80705,31358,390
80720,47814,1090
80722,49835,200
80723,47949,2950
80726,46682,170
80727,37652,170
80728,51376,380
80729,51555,180
80731,58737,640
80733,41773,260
80734,54238,1330
80735,57764,140
80736,59420,290
80737,46973,640
80741,52085,420
80743,50011,440
80744,37521,190
80747,52971,210
80749,42873,150
80750,42927,180
80751,59766,6560
80758,53900,1590
80759,50390,1930
80804,40385,140
80805,37641,170
80807,52044,1820
80808,50039,2610
80809,70787,790
80810,61131,480
80812,32170,100
80813,41675,980
80814,68412,1890
80815,46669,390
80816,56940,2470
80817,45637,12380
80818,41278,140
80819,50723,460
80820,62673,340
80821,45153,470
80822,45890,100
80824,55450,100
80825,39921,190
80827,53794,360
80828,49861,1130
80829,81050,2800
80830,49000,100
80831,70300,12160
80832,54441,290
80833,40220,250
80834,37738,130
80835,51614,350
80836,45408,500
80840,48732,980
80860,38845,240
80861,36563,110
80863,70527,5420
80864,44671,560
80902,37085,3590
80903,57239,6610
80904,65169,10640
80905,45782,8300
80906,99122,17390
80907,52879,13770
80908,108431,8480
80909,41835,16650
80910,32572,12690
80911,46316,15300
80913,21362,2140
80914,27176,260
80915,44133,10200
80916,35549,16640
80917,47125,14500
80918,56887,22950
80919,90656,14080
80920,77892,17930
80921,112636,9790
80922,57563,12680
80923,64307,13760
80924,100231,4150
80925,57180,4670
80926,68385,700
80927,80334,1710
80928,40556,410
80929,69037,160
80930,51857,590
80951,53405,1910
81001,43283,11970
81003,35341,5140
81004,35195,10180
81005,51920,14430
81006,56509,5090
81007,63616,13770
81008,56608,5450
81019,55510,930
81020,44302,350
81022,39677,610
81023,73718,610
81025,37905,360
81029,32954,110
81036,44425,390
81039,46124,730
81040,43281,160
81041,35107,270
81047,41717,630
81049,47130,100
81050,42798,3860
81052,46688,3550
81054,36537,1200
81055,55528,660
81057,41588,180
81058,37165,350
81062,32692,280
81063,37841,580
81064,34500,80
81067,38193,2100
81069,61105,860
81071,54591,120
81073,39730,750
81076,36237,160
81077,46803,300
81082,45151,4740
81089,39718,1700
81090,46707,390
81091,60138,310
81092,52464,340
81101,46535,6170
81120,38883,790
81121,58200,160
81122,64820,4110
81123,35523,300
81125,41450,1300
81130,61240,400
81131,40020,640
81132,43395,1270
81133,45895,470
81136,35472,110
81137,56478,2520
81140,42735,870
81141,40687,480
81143,30523,260
81144,48541,3000
81146,45082,280
81147,58293,5570
81148,34684,130
81149,35067,340
81151,41039,510
81152,31089,460
81154,55803,510
81155,43225,120
81201,62546,4510
81210,54093,150
81211,63529,3550
81212,49715,11010
81221,40566,150
81222,50546,150
81223,48911,770
81224,82204,2630
81226,44328,2440
81230,52112,4520
81233,49538,390
81235,59443,370
81236,68428,530
81240,52488,1960
81242,50488,510
81244,38200,180
81252,62400,1840
81253,58758,170
81301,79973,13730
81303,74255,3610
81320,46891,120
81321,46501,6180
81323,60771,2070
81324,46409,530
81326,70981,970
81327,50763,300
81328,57803,1900
81331,51125,160
81332,47416,120
81334,24547,570
81401,48864,9930
81403,62566,4780
81410,49027,650
81413,53877,2250
81415,62693,640
81416,44640,5470
81418,41326,650
81419,50717,1540
81422,40633,210
81423,54953,690
81424,43227,470
81425,40762,2020
81426,70672,110
81427,68119,620
81428,46753,1630
81430,73478,230
81431,55511,90
81432,85509,1470
81433,46082,340
81435,108967,3020
81501,37107,8920
81503,46668,6850
81504,44281,13510
81505,73586,5090
81506,76967,5510
81507,94907,7330
81520,34499,5660
81521,58332,7160
81523,67751,330
81524,63423,1010
81525,50966,390
81526,59056,2480
81527,62404,890
81601,70356,6570
81610,39033,150
81611,162750,4140
81612,144863,2330
81615,116151,1410
81620,97242,6310
81621,82974,3330
81623,106380,7250
81624,51800,500
81625,55158,4700
81630,51611,430
81631,81076,4040
81632,143459,4190
81635,51813,2650
81637,61633,3210
81639,60609,1080
81640,47290,100
81641,58224,1600
81643,65696,330
81645,56842,710
81647,61688,3110
81648,63333,1010
81649,50200,120
81650,51368,5700
81652,57294,2420
81654,173311,600
81655,137645,200
81656,133321,280
81657,114353,2630
06001,178250,9250
06002,79120,11680
06010,57116,30100
06013,109119,4660
06016,68251,3290
06018,49779,1390
06019,109664,4880
06021,75121,710
06023,84372,720
06024,50336,300
06026,88494,2690
06027,76984,760
06029,95679,8090
06031,79208,570
06032,132536,9300
06033,126214,14430
06035,92633,3700
06037,84022,10090
06039,111099,1070
06040,60159,17800
06042,60551,12420
06043,91666,2610
06051,31230,13160
06052,55783,3890
06053,42611,15730
06057,93038,3440
06058,89050,830
06060,128265,1200
06061,52000,120
06062,60670,9370
06063,79120,1650
06065,70251,370
06066,62046,15500
06067,82162,10550
06068,121524,700
06069,145324,1150
06070,132721,7580
06071,96583,4590
06073,179578,2830
06074,92947,13320
06076,62637,6050
06078,121977,5130
06081,63122,740
06082,60441,20960
06084,98767,7130
06085,97627,3560
06088,61089,2670
06089,122146,1570
06090,143863,580
06092,175336,1980
06093,96954,1790
06095,66719,15700
06096,58248,6870
06098,54184,5020
06103,110314,1360
06105,51332,8280
06106,31461,15490
06107,146201,9620
06108,40181,11750
06109,81307,14090
06110,57808,6500
06111,67185,16210
06112,29416,9640
06114,31288,11480
06117,172923,7170
06118,49263,13980
06119,87550,7280
06120,24120,4620
06226,35053,7160
06231,92491,1880
06232,79829,1660
06234,65318,3810
06235,59965,1130
06237,82921,2790
06238,77288,6330
06239,51066,5100
06241,60291,3020
06242,71131,740
06243,51028,140
06247,67917,1210
06248,97974,2780
06249,70971,3580
06250,79952,2380
06254,74207,980
06255,57516,2140
06256,50434,1150
06259,85300,1820
06260,49845,4400
06262,49706,310
06263,43230,200
06264,59659,320
06266,50876,300
06268,87721,3190
06277,66878,2090
06278,67831,2220
06279,71725,2760
06280,61930,1570
06281,88603,3210
06282,73716,550
06320,40663,12700
06330,56921,1430
06331,62977,2500
06332,41709,410
06333,112303,3610
06334,70571,1290
06335,76818,3280
06339,71578,4140
06340,58849,13730
06350,54291,120
06351,59325,7800
06353,42472,220
06354,50778,2570
06355,95906,6780
06357,81682,5700
06359,83413,2660
06360,46551,17880
06365,69180,2320
06370,70571,3660
06371,146101,4960
06373,50025,240
06374,53175,3660
06375,66652,2010
06376,91254,110
06377,59670,1320
06378,137323,2880
06379,72434,4500
06380,36806,1180
06382,53518,5160
06384,64227,1330
06385,79195,8440
06387,35134,290
06389,58166,120
06401,49235,9180
06403,72121,3040
06405,89608,15490
06409,68163,360
06410,108545,13290
06412,89638,1990
06413,78441,6890
06414,73842,190
06415,79498,8240
06416,90438,7480
06417,98605,2310
06418,53390,6260
06419,103461,3200
06420,89064,2090
06422,113263,3710
06423,87578,2550
06424,83246,6270
06426,170227,1790
06437,131196,11050
06438,97516,1360
06441,91210,2780
06442,89592,1440
06443,144541,8950
06444,80110,380
06447,106369,3080
06450,51900,17490
06451,48257,11620
06455,90003,1630
06456,139675,200
06457,63666,22260
06460,79475,20150
06461,85244,7550
06467,59480,210
06468,105686,9410
06469,69892,1610
06470,130672,7610
06471,77813,3910
06472,83124,3410
06473,84898,12640
06475,104050,5680
06477,113804,7210
06478,91995,6330
06479,75849,5040
06480,84305,4730
06481,72228,590
06482,114508,5190
06483,67713,8360
06484,83560,20840
06488,98907,9690
06489,83723,16390
06492,74869,23300
06498,101753,3580
06510,92465,1560
06511,54499,20860
06512,55856,14770
06513,37764,16330
06514,56064,12880
06515,59840,7100
06516,48944,25940
06517,83614,7390
06518,81914,7410
06519,30366,6010
06524,114656,2760
06525,182817,4440
06604,36226,11560
06605,41274,10310
06606,40671,21980
06607,27739,3390
06608,25570,5720
06610,36496,10810
06611,112442,17120
06612,192480,3510
06614,69113,17320
06615,55476,9560
06702,21097,1080
06704,33834,11290
06705,38443,12440
06706,36603,6340
06708,46071,14020
06710,33796,3970
06712,76807,4920
06716,70208,8240
06750,62515,660
06751,79477,1830
06752,160563,870
06754,78458,780
06755,74251,580
06756,102225,1480
06757,90728,1070
06759,115073,2880
06762,134554,3690
06763,92980,1050
06770,54684,15310
06776,76274,13290
06777,114778,870
06778,73519,630
06779,54403,4110
06782,66500,1190
06783,160326,1070
06784,120166,1760
06785,172757,330
06786,59407,4820
06787,63144,3970
06790,52217,17270
06791,86435,2820
06793,181494,500
06794,98081,590
06795,82037,7150
06796,105235,420
06798,98257,5090
06801,79650,9610
06804,100751,8820
06807,215340,3490
06810,49768,25020
06811,78278,14900
06812,103149,6740
06820,504751,9390
06824,211430,14850
06825,108910,9650
06830,530370,12190
06831,586223,7360
06840,479794,9050
06850,84442,10610
06851,86030,14300
06853,385197,1740
06854,67419,14320
06855,99668,4230
06856,48555,180
06870,480901,3270
06877,238618,11460
06878,512131,3600
06880,390730,12600
06883,311663,4490
06890,378347,2220
06896,192795,4140
06897,290487,8330
06901,110394,4720
06902,100222,34130
06903,229161,6960
06905,107487,11060
06906,73624,5030
06907,90071,5030
19701,69305,20820
19702,59624,26340
19703,50546,7410
19706,46472,900
19707,128899,8400
19709,79629,20500
19710,458475,160
19711,81612,21940
19713,52178,15240
19720,46777,28420
19730,71075,280
19731,55140,100
19732,293936,110
19733,56277,180
19734,69715,5790
19736,158292,130
19801,54875,6320
19802,40951,11200
19803,115929,11040
19804,45408,9340
19805,41453,17900
19806,117349,4910
19807,318887,4230
19808,69929,19920
19809,64643,7380
19810,85532,12790
19901,48293,15160
19902,19436,380
19904,50977,16230
19930,119451,1370
19931,67021,140
19933,49476,4360
19934,65739,6450
19936,31621,190
19938,57310,4300
19939,66108,3380
19940,48259,2680
19941,39209,1240
19943,50904,5790
19944,101700,260
19945,50723,3780
19946,46967,2130
19947,43907,8270
19950,48439,3170
19951,64509,870
19952,45887,4880
19953,49593,2000
19954,45871,760
19955,40441,170
19956,44312,7250
19958,80426,13160
19960,41946,3180
19962,56242,5700
19963,51838,9460
19964,47185,600
19966,54517,13950
19967,82617,780
19968,67051,6220
19970,76720,3970
19971,100031,7680
19973,48893,11400
19975,66772,4690
19977,55888,11320
19979,47572,400
20001,87461,25720
20002,78102,34320
20003,112543,16710
20004,162022,1010
20005,105860,7620
20006,187708,570
20007,232078,12390
20008,191706,16660
20009,98789,31590
20010,65736,18740
20011,59819,37170
20012,88337,7920
20015,232026,7630
20016,257379,14020
20017,66746,9950
20018,62197,9510
20019,36753,28290
20020,39827,24200
20024,77018,7700
20032,34828,16350
20036,129505,3520
20037,152825,4960
32003,87024,12970
32008,42982,2070
32009,57046,1430
32011,55172,6710
32024,48157,7780
32025,41276,7650
32033,54584,2230
32034,107197,16430
32038,41926,3890
32040,49990,3360
32043,68940,14600
32044,39762,720
32046,49796,3910
32052,37346,2450
32053,37172,1450
32054,46618,3940
32055,42399,6330
32058,43471,1440
32059,42749,1040
32060,43249,7580
32061,43300,130
32062,42885,1030
32063,50077,5230
32064,40127,3050
32065,55648,16430
32066,43603,1900
32068,49947,23690
32071,42725,1370
32073,52047,20150
32079,54121,370
32080,97703,10730
32081,122314,7250
32082,213006,14970
32083,41421,600
32084,55944,15420
32086,56299,13870
32087,42737,1630
32091,42709,6160
32092,85276,15950
32094,44885,1140
32095,96373,4990
32096,40350,1120
32097,58777,9090
32102,42173,1000
32110,37501,3290
32112,34273,2570
32113,37975,2440
32114,27959,12820
32117,31982,11740
32118,64140,8680
32119,42361,10380
32124,62087,2040
32127,64069,14430
32128,85539,9050
32129,41677,10580
32130,45044,2380
32131,51590,1810
32132,42552,3670
32134,38427,2870
32136,71144,4080
32137,77346,20340
32139,36159,440
32140,41684,660
32141,44143,8290
32145,37922,2310
32147,41806,630
32148,33109,3770
32157,32762,160
32159,53339,13960
32162,93896,28080
32164,43451,20620
32168,60563,12720
32169,95937,5210
32174,65930,24810
32176,86750,7180
32177,39330,9500
32179,37659,3070
32180,38851,1640
32181,34695,930
32187,41727,840
32189,36566,2020
32190,34380,500
32193,49173,460
32195,47489,1570
32202,88229,1680
32204,63591,3710
32205,55802,13890
32206,28723,7070
32207,70527,16030
32208,29468,13720
32209,23756,13910
32210,52338,28840
32211,35670,14640
32212,30287,780
32216,45511,19100
32217,71733,9620
32218,45268,28260
32219,41976,5680
32220,54386,5640
32221,49033,13200
32222,48751,5510
32223,81748,12500
32224,92591,18460
32225,64849,27840
32226,68467,8570
32227,47221,610
32228,27907,140
32233,78201,11530
32234,47726,3130
32244,39648,28180
32246,49081,25300
32250,87527,15190
32254,26439,5650
32256,70998,24130
32257,59015,19130
32258,67916,16120
32259,102906,21290
32266,84774,3850
32277,41818,14600
32301,42258,12760
32303,45923,22900
32304,20961,12350
32305,32603,8350
32308,76459,11050
32309,85078,14760
32310,33401,6020
32311,67489,9390
32312,109777,15400
32317,78592,7430
32320,42217,1310
32321,43463,1820
32322,55546,1180
32324,38633,1720
32327,51601,10690
32328,78128,1390
32330,30529,440
32331,40348,1580
32332,25048,820
32333,49007,5330
32334,44110,690
32336,49932,550
32340,37439,3540
32343,35549,1520
32344,50054,4590
32346,64366,740
32347,46279,3030
32348,43368,3940
32350,45305,570
32351,35399,6400
32352,36341,2560
32355,55865,200
32358,49961,860
32359,46600,690
32361,72736,110
32401,41778,10440
32403,41161,1210
32404,45295,17470
32405,50948,13750
32407,56392,5990
32408,68118,8090
32409,53821,4110
32410,65425,200
32413,65487,7230
32420,41467,940
32421,42181,1640
32423,36940,540
32424,43398,2290
32425,41135,4570
32426,32402,380
32427,32459,440
32428,44966,6090
32430,45181,480
32431,38589,1990
32433,38859,5940
32435,44464,2880
32437,39318,270
32438,34385,1420
32439,54378,4660
32440,48955,2080
32442,43846,1520
32443,36997,1310
32444,62745,10260
32445,35396,540
32446,50279,3970
32447,65465,430
32448,37221,3340
32449,38115,190
32455,36607,1630
32456,63230,3460
32459,148118,9110
32460,41834,1670
32461,297968,1070
32462,39815,1390
32463,39000,140
32464,40765,1410
32465,42582,2290
32466,40552,2680
32501,53885,4220
32502,86255,1700
32503,64068,14790
32504,62663,11040
32505,31018,11540
32506,42242,15840
32507,68207,13900
32508,29253,1070
32514,47256,18560
32526,50013,18240
32530,44845,240
32531,52789,2630
32533,59615,13050
32534,42034,7540
32535,43288,1710
32536,55037,12500
32539,46253,11540
32541,108199,9430
32542,35522,1360
32544,29637,950
32547,47167,16620
32548,50881,11140
32550,158115,4170
32561,138586,4370
32563,74139,11740
32564,45725,1250
32565,55033,2330
32566,61498,18310
32567,48673,1610
32568,51358,1310
32569,50820,6050
32570,48626,13240
32571,61818,15490
32577,58523,2270
32578,77636,15900
32579,69071,5480
32580,57054,2050
32583,51651,9850
32601,39265,6730
32603,47641,1050
32605,75130,11750
32606,74014,11010
32607,53368,12950
32608,67772,20040
32609,34524,7670
32615,61017,6460
32616,43620,970
32617,44054,1740
32618,49268,2970
32619,42791,1970
32621,34603,2100
32622,53708,570
32625,55769,650
32626,38882,2810
32628,39448,1460
32631,70473,230
32639,41966,120
32640,42435,4160
32641,29035,5630
32643,55442,4660
32648,41250,140
32653,75571,6490
32656,45838,5820
32658,39717,230
32664,53875,280
32666,54963,2580
32667,68099,1680
32668,47074,2130
32669,75326,6330
32680,37945,3010
32681,34508,250
32686,82464,1800
32692,62792,130
32693,42436,4430
32694,44195,800
32696,44347,5180
32697,41892,130
32701,46306,11550
32702,44504,1390
32703,44262,22650
32707,46261,17770
32708,70022,21750
32709,47440,1110
32712,61013,20820
32713,60272,9770
32714,46994,18540
32720,48362,13360
32724,55416,15920
32725,39769,21800
32726,45636,9020
32730,38135,2800
32732,71275,2480
32735,51207,2310
32736,68587,4560
32738,39410,20290
32744,44967,1690
32746,90495,20440
32750,57148,11560
32751,106867,9860
32754,52998,5140
32757,72741,11980
32759,43157,1180
32763,42508,9850
32764,55994,1500
32765,72773,26780
32766,92781,6930
32767,33358,1050
32771,58836,24210
32773,38422,14110
32776,62914,5420
32778,53175,9370
32779,118490,13410
32780,50893,17370
32784,48036,4690
32789,180866,11210
32792,51514,23060
32796,48430,8990
32798,39660,1530
32801,84910,8360
32803,74376,11470
32804,102551,9180
32805,25165,9640
32806,78213,13400
32807,31710,16150
32808,25570,23500
32809,39035,14290
32810,36893,16330
32811,26658,19370
32812,50623,17270
32814,134439,4310
32817,46758,16030
32818,30880,22910
32819,87767,14340
32820,65626,4050
32821,36529,12650
32822,30363,28610
32824,40136,23520
32825,44401,28200
32826,37220,10620
32827,115844,6000
32828,61332,28550
32829,49602,9820
32830,271632,760
32832,75347,11270
32833,57262,4410
32835,48789,20830
32836,120382,9360
32837,47596,25540
32839,29333,26080
32901,40968,10360
32903,99011,6840
32904,61088,14700
32905,36270,11410
32907,41843,19620
32908,39768,5660
32909,43281,15180
32920,57741,5390
32922,33982,6200
32925,52622,570
32926,48401,10200
32927,46823,12360
32931,84597,7200
32934,75547,8570
32935,42149,20150
32937,90949,13020
32940,88509,19580
32948,34453,2900
32949,75622,1200
32950,69901,2200
32951,100348,5310
32952,82503,10110
32953,67652,11040
32955,66219,18620
32958,51594,13100
32960,48691,9530
32962,45003,11470
32963,407915,7500
32966,60132,8580
32967,68479,10490
32968,66346,6600
32970,51262,240
32976,40172,3940
33001,58268,190
33004,45618,7780
33009,49252,19040
33010,24458,22630
33012,28037,37030
33013,26951,17620
33014,44150,20710
33015,39313,31420
33016,38942,23990
33018,39092,25950
33019,131932,6810
33020,36953,20980
33021,60829,22160
33023,32666,34050
33024,46634,36080
33025,43595,33720
33026,65306,14870
33027,65425,28050
33028,76372,12250
33029,78953,20750
33030,33857,14060
33031,69343,2830
33032,35603,21710
33033,34671,26460
33034,25158,8670
33035,40983,6640
33036,171937,1790
33037,177907,6970
33040,80717,17490
33042,97985,3050
33043,68365,2320
33050,74564,5260
33051,136377,440
33054,26072,13960
33055,29538,23520
33056,31735,18160
33060,47046,16510
33062,151200,12670
33063,42366,26840
33064,59929,27030
33065,44247,26140
33066,47547,8850
33067,115985,12290
33068,31096,25780
33069,45761,12860
33070,93261,2830
33071,71858,18410
33073,57943,14700
33076,134564,15490
33109,2212450,200
33122,79169,680
33125,26970,25150
33126,32274,25390
33127,24430,13140
33128,22940,2760
33129,98116,6680
33130,46529,13570
33131,186847,10020
33132,102969,5460
33133,140387,15430
33134,96994,19190
33135,25814,16840
33136,28813,6420
33137,81152,10310
33138,78955,13090
33139,185517,17720
33140,302078,8570
33141,73372,17590
33142,23422,24670
33143,135068,13500
33144,34652,14170
33145,46454,14910
33146,227914,4460
33147,24474,23770
33149,279968,4450
33150,27108,12990
33154,264973,5870
33155,52047,22950
33156,210677,13600
33157,55703,31310
33158,170098,2740
33160,105953,18080
33161,31861,25750
33162,31552,21590
33165,41634,28860
33166,57717,12210
33167,28722,9950
33168,29214,14260
33169,35409,20870
33170,37100,6610
33172,34893,21840
33173,60059,16390
33174,33938,15860
33175,45828,28040
33176,76457,24590
33177,36194,28180
33178,63935,20030
33179,48003,20520
33180,112648,13520
33181,59238,8720
33182,53819,7070
33183,44005,18650
33184,41380,11110
33185,57792,13130
33186,52911,33560
33187,52253,8870
33189,42608,12000
33190,42680,6570
33193,39372,23910
33194,53709,2770
33196,49994,23680
33301,263655,8600
33304,116553,9880
33305,133454,6290
33306,105216,1980
33308,140888,15310
33309,39811,19530
33311,28530,32830
33312,50925,24590
33313,27798,29150
33314,44591,11790
33315,63475,6570
33316,197677,6130
33317,59044,17860
33319,36837,24480
33321,43039,25330
33322,51887,19960
33323,78190,10750
