zipcode,average_agi,n_returns
36250,53408,2020
36251,42420,2080
36255,85405,380
36256,42657,610
36258,45343,620
36260,42160,1600
36262,41228,520
36263,50604,250
36264,47052,3400
36265,47446,7660
36266,44097,2210
36268,47504,2210
36269,42063,460
36271,47801,2380
36272,40750,4680
36273,48672,1030
36274,37552,4290
36276,39800,870
36277,43402,2330
36278,53891,1860
36279,43535,1040
36280,44205,1420
36301,44785,15220
36303,58186,12710
36305,80908,6770
36310,44047,2380
36311,45992,1040
36312,47635,2370
36314,44381,220
36316,51656,740
36317,37431,160
36318,49048,490
36319,52443,870
36320,39783,1310
36321,41720,750
36322,42907,3380
36323,55722,2850
36330,58330,14900
36340,42264,2000
36343,37188,590
36344,42590,2080
36345,53511,3510
36346,46491,570
36350,48022,2970
36351,52121,1430
36352,56968,2130
36353,44718,820
36360,45148,7700
36362,48521,1500
36370,43634,380
36371,48618,220
36373,32266,210
36374,48678,470
36375,42188,2770
36376,38410,890
36401,37760,2850
36420,48929,4400
36421,56402,3510
36425,31770,340
36426,44264,5640
36432,36005,910
36435,26050,200
36436,41226,190
36439,46589,290
36441,45284,1460
36442,37559,1100
36444,37709,210
36445,41329,1510
36446,49681,220
36451,55513,1900
36453,46995,870
36455,36115,130
36456,39422,720
36460,49998,3330
36467,44677,3740
36471,33961,390
36474,44785,1090
36475,40809,740
36477,45490,1610
36480,49294,700
36481,23218,110
36482,31350,380
36483,40122,180
36502,40790,6080
36505,50611,610
36507,48190,7900
36509,31502,830
36511,36957,380
36513,38867,280
36518,60414,1030
36521,51308,1940
36522,44392,2790
36523,47338,1030
36524,41100,420
36525,50068,820
36526,72010,14950
36527,89161,6640
36528,65944,770
36529,49727,220
36530,58126,3270
36532,84409,14010
36535,43233,12760
36538,40142,140
36539,52933,270
36540,31334,380
36541,49421,5750
36542,59052,6290
36544,40677,4480
36545,49670,3610
36548,57376,460
36549,50574,2270
36551,49822,3880
36553,43585,1240
36555,74393,620
36556,45166,120
36558,53843,1300
36559,126700,410
36560,34508,1300
36561,83132,3950
36562,44000,690
36564,165930,490
36567,44303,5790
36568,35847,190
36569,49624,330
36571,57665,6850
36572,58522,2900
36574,50642,560
36575,49892,8490
36576,47572,1980
36578,59091,820
36579,52619,710
36580,43258,2510
36582,48590,9990
36583,60761,260
36584,49187,240
36585,50141,390
36587,47554,4090
36590,49339,280
36602,74766,450
36603,26015,2500
36604,53484,3890
36605,32056,10890
36606,40908,8030
36607,56474,2670
36608,78457,15160
36609,46117,10300
36610,21553,4110
36611,31479,2380
36612,23244,1620
36613,36008,4770
36616,107724,250
36617,28150,5150
36618,38928,7610
36619,56146,6370
36693,60575,8530
36695,66009,21090
36701,40064,8640
36703,30403,4330
36720,24119,310
36722,32240,150
36726,42115,1770
36728,37526,230
36732,49025,3510
36736,36983,490
36738,35216,370
36740,33895,460
36742,50592,940
36744,36634,2550
36748,44875,1270
36749,37530,390
36750,46851,1140
36751,26588,350
36752,52139,710
36756,35213,2010
36758,42740,520
36759,32507,650
36761,35770,400
36765,32608,480
36767,28414,690
36768,35366,300
36769,33148,1110
36773,32650,140
36775,41987,310
36776,28875,600
36782,44674,850
36783,44093,320
36784,48448,3080
36785,38552,480
36786,24651,1200
36790,48950,100
36792,46221,460
36793,44190,210
36801,51546,9660
36804,47110,8170
36830,80518,16300
36832,43986,8340
36850,32813,1070
36852,38034,970
36853,60347,3510
36854,40328,6650
36855,41959,540
36856,45493,2770
36858,37110,190
36860,32093,610
36861,59219,1360
36862,37344,2380
36863,37559,4850
36865,37400,120
36866,41581,1540
36867,43867,8550
36869,33719,7880
36870,45229,7480
36871,44597,420
36874,52537,3570
36875,45118,1860
36877,51664,4960
36879,78054,1010
36901,27000,130
36904,52092,1530
36907,34857,610
36908,54142,870
36912,32691,710
36915,47757,210
36916,42721,230
36919,43000,730
36921,53080,400
36922,33450,220
36925,27198,1190
99501,73427,7890
99502,79999,11740
99503,58698,7780
99504,56822,19180
99505,38783,2480
99506,40136,2930
99507,79126,18630
99508,54864,15400
99510,90344,250
99515,93349,10960
99516,143821,9600
99517,78197,8140
99518,65442,5180
99519,99541,460
99540,66387,160
99551,22750,220
99552,17181,160
99553,45105,200
99554,16826,260
99556,54476,1080
99557,35233,270
99559,58144,2860
99561,17135,170
99563,17230,390
99567,79261,4170
99568,59792,130
99572,71665,200
99573,50542,400
99574,55240,1350
99576,60562,1360
99577,87803,12780
99578,26456,160
99581,23889,370
99585,20884,130
99586,41900,210
99587,73950,1310
99588,60487,650
99589,21536,110
99590,13645,110
99603,66142,5380
99604,20533,480
99605,35640,100
99606,36320,200
99609,24177,180
99610,60973,1110
99611,69811,6400
99612,43038,310
99613,60725,280
99614,17707,260
99615,59081,6270
99620,21139,230
99621,26145,240
99622,24860,150
99627,38781,160
99628,21086,230
99630,21990,100
99631,54157,140
99632,24606,290
99633,52845,220
99634,15558,120
99636,17023,210
99637,19707,260
99639,54176,590
99641,19850,180
99645,73807,12920
99650,22775,200
99652,67564,1440
99653,58445,110
99654,69950,14230
99655,20146,300
99657,21709,110
99658,27440,270
99659,25080,150
99660,43164,170
99661,52916,310
99662,25405,170
99663,58733,210
99664,57584,2290
99669,74066,7670
99671,26000,190
99672,67812,1660
99674,52597,680
99676,52459,920
99678,23093,330
99679,14707,140
99680,21293,160
99681,14450,180
99683,44552,250
99684,53593,330
99685,73670,470
99686,77102,1980
99688,55572,1290
99689,51395,230
99692,55317,1370
99693,44964,140
99694,49168,220
99701,54534,7940
99702,41471,1280
99703,36618,3600
99705,64404,8900
99706,80162,770
99709,76259,10690
99712,78385,4360
99714,60532,460
99720,22750,100
99721,32150,160
99723,59307,2360
99727,31246,150
99729,50033,120
99737,62762,1870
99740,29181,330
99741,49807,260
99742,26870,170
99743,67973,570
99746,21028,140
99747,41971,140
99749,44441,120
99750,31876,130
99752,65851,1190
99753,20300,120
99755,59053,260
99760,54457,350
99761,41363,190
99762,64568,1750
99763,36893,160
99765,22660,150
99766,29287,330
99769,24195,210
99770,29826,190
99772,28885,200
99777,30769,130
99780,49422,790
99782,32875,290
99785,23233,150
99786,34383,120
99789,40186,230
99791,25647,170
99801,71124,11910
99820,30617,170
99824,75712,1180
99826,52521,280
99827,59975,1270
99829,40230,390
99830,34590,200
99833,59974,1660
99835,65227,4440
99840,57898,770
99901,63313,6300
99919,49865,260
99921,58549,830
99922,41045,110
99925,52920,430
99926,42021,550
99929,49176,1070
85003,72534,3900
85004,76867,2960
85006,35924,9680
85007,51706,5300
85008,34087,23140
85009,27561,15940
85012,105044,3800
85013,70924,9800
85014,61996,12160
85015,34583,15590
85016,93468,17560
85017,26419,14110
85018,143031,17200
85019,30201,10240
85020,71521,15970
85021,62599,16180
85022,60375,23110
85023,58437,15340
85024,63436,12050
85027,48759,17710
85028,103105,10090
85029,39926,19460
85031,27712,11560
85032,52603,30860
85033,28727,21280
85034,38470,2090
85035,27958,19510
85037,35430,19830
85040,31056,11580
85041,37865,24170
85042,46621,18060
85043,37618,12720
85044,77797,19910
85045,120725,3330
85048,104624,16170
85050,99355,13920
85051,34643,18110
85053,43874,13590
85054,90577,3640
85083,100288,7980
85085,90387,10650
85086,87047,17160
85087,77453,3880
85118,85591,5300
85119,51183,8160
85120,38440,10810
85121,27809,750
85122,44317,19980
85123,37310,3690
85128,39757,5380
85131,40202,3980
85132,48802,7640
85135,39915,190
85137,44519,780
85138,54754,15070
85139,47663,7100
85140,56789,14330
85142,75934,25800
85143,49579,14280
85145,51905,900
85147,31260,1930
85172,37668,740
85173,41225,960
85192,40856,480
85193,35632,1210
85194,63802,2400
85201,36071,20310
85202,43896,18250
85203,50852,15170
85204,39463,25150
85205,61843,17720
85206,50219,15250
85207,81054,20120
85208,43181,14530
85209,58668,17170
85210,38548,16400
85212,71235,14850
85213,80111,14290
85215,75834,7680
85224,60517,22340
85225,51935,32130
85226,78087,18790
85233,69794,17790
85234,78022,21760
85248,104895,16800
85249,111264,18720
85250,87842,9050
85251,92818,20450
85253,464383,8080
85254,107940,22930
85255,226299,20030
85256,39629,2120
85257,53579,14990
85258,135058,12570
85259,168900,10560
85260,112670,18880
85262,320235,5380
85263,139485,1010
85264,69446,690
85266,212349,5050
85268,103524,10950
85281,46224,21290
85282,50109,24450
85283,53935,21590
85284,139808,9620
85286,97149,18460
85295,79925,19360
85296,77847,19790
85297,89324,12970
85298,105090,14620
85301,28300,22810
85302,40325,17200
85303,38382,13220
85304,53057,12170
85305,54698,5710
85306,49115,10910
85307,43643,4030
85308,66020,30300
85309,21676,340
85310,85236,9190
85320,35527,330
85321,37048,1270
85322,45488,250
85323,39235,16920
85324,43189,1120
85325,33255,290
85326,46596,23110
85331,120252,13160
85332,40348,660
85333,32921,190
85334,43070,340
85335,37313,13870
85336,26456,320
85337,35861,940
85338,60005,22740
85339,49938,18560
85340,80360,13010
85341,39205,170
85342,60450,500
85343,63636,110
85344,40814,4030
85345,42475,25220
85346,32620,580
85347,61382,170
85348,38483,620
85349,23734,19490
85350,33277,7200
85351,46590,13930
85352,40291,230
85353,40178,16010
85354,42679,2470
85355,72172,4930
85356,45924,1280
85357,30275,160
85360,39240,100
85361,49669,2590
85362,39090,200
85363,35643,2780
85364,46520,27720
85365,56011,17670
85367,53668,6990
85373,54659,8220
85374,57184,17910
85375,63572,13390
85377,202600,1840
85379,58115,18140
85381,63509,12300
85382,63306,19310
85383,105881,23770
85387,69262,5100
85388,58724,11080
85390,59935,2900
85392,51245,16430
85395,84958,12810
85396,78455,8840
85501,45717,3260
85530,24476,590
85531,68694,190
85533,51534,950
85534,47272,870
85536,45033,120
85539,42838,980
85540,65102,1500
85541,52888,9140
85542,27218,870
85543,50434,1270
85544,59750,1170
85545,43894,170
85546,48034,5720
85550,28006,1640
85551,39885,210
85552,58118,2400
85553,47073,570
85554,46747,210
85601,35552,250
85602,46295,3870
85603,42760,2730
85605,38590,200
85606,44096,320
85607,30268,6380
85608,31348,750
85609,50872,110
85610,46913,380
85611,51024,370
85613,41266,1330
85614,62035,10940
85615,63309,3860
85616,43787,2070
85617,42391,370
85618,36644,560
85620,23130,460
85621,33433,8860
85622,72133,3360
85623,65315,2140
85624,51779,540
85625,43220,670
85626,24325,430
85627,41975,160
85629,63325,11270
85630,54475,920
85631,38922,1220
85632,41450,260
85634,34305,2080
85635,50905,14700
85637,81512,660
85638,36602,820
85640,55430,300
85641,76777,10880
85643,40659,2540
85645,36211,770
85646,105229,640
85648,43369,8010
85650,70938,6430
85653,51679,6250
85658,93428,6080
85701,51482,2640
85704,66233,15710
85705,28632,20680
85706,27529,20490
85707,18152,460
85708,44534,1200
85710,42098,25960
85711,41140,17430
85712,43393,14030
85713,31441,17850
85714,27084,5500
85715,76562,9080
85716,47686,13960
85718,153923,13640
85719,41510,14400
85730,42410,17530
85735,42957,4180
85736,36550,1400
85737,88955,10820
85739,76269,8410
85741,48305,15420
85742,67509,12800
85743,66498,12820
85745,58971,16130
85746,36774,17150
85747,67758,10860
85748,69342,9290
85749,102672,8990
85750,123027,11890
85755,106960,7530
85756,39653,12360
85757,41977,8030
85901,49716,5900
85911,21328,420
85912,32760,150
85920,56747,230
85923,36781,160
85924,41926,720
85925,51180,1510
85926,28239,610
85928,51046,500
85929,49535,3300
85930,23320,250
85932,54414,140
85933,49280,1080
85934,50933,180
85935,62747,1950
85936,46230,1310
85937,47741,2930
85938,47631,960
85939,48031,1450
85940,48657,450
85941,28252,2520
86001,66374,11880
86003,54196,1130
86004,55733,17140
86015,62775,400
86017,59376,460
86018,65362,430
86020,27240,700
86021,30255,1770
86022,34038,730
86023,38514,1360
86024,75703,260
86025,38991,2160
86030,29129,370
86031,30113,450
86032,48098,500
86033,36144,3120
86034,32123,630
86035,30786,650
86036,34093,160
86039,32587,550
86040,53940,4650
86042,31496,540
86043,26973,560
86044,33142,1140
86045,37518,4110
86046,44615,2630
86047,39163,4760
86053,33909,820
86054,38901,560
86301,62825,10870
86303,72788,8290
86305,82524,8700
86314,41761,15880
86315,67842,3780
86320,35110,690
86321,63542,780
86322,43392,4970
86323,45676,7800
86324,51005,1950
86325,59308,2460
86326,44066,10770
86327,52536,4680
86329,41049,570
86331,36944,290
86332,39827,580
86333,37562,2010
86334,41560,1690
86335,39195,1830
86336,82480,5360
86337,38294,500
86338,69465,230
86351,82824,2930
86401,51885,10020
86403,44221,7090
86404,52603,7000
86406,58503,9930
86409,39443,9500
86413,34432,3250
86426,44962,5780
86429,49126,2990
86431,39000,90
86432,36594,700
86434,37529,580
86435,24461,130
86436,38492,660
86438,41157,260
86440,39877,2500
86441,30435,510
86442,35461,12490
86444,39147,380
86445,36858,120
86502,29836,300
86503,35972,3660
86504,44065,1480
86505,33300,1610
86506,29106,300
86507,29180,560
86508,26772,180
86510,32603,1280
86511,34134,1070
86512,33754,750
86514,33898,800
86515,32558,5820
86520,26271,490
86535,28070,300
86538,33426,490
86540,25868,190
86544,30233,180
86545,33637,480
86547,31656,250
86556,33488,430
71601,29017,5360
71602,48397,6620
71603,44857,12320
71630,37329,170
71631,36709,220
71635,45689,4590
71638,39001,1030
71639,38815,2330
71640,33283,950
71642,39400,230
71643,35476,420
71644,39800,290
71646,47847,2360
71647,40286,600
71652,39980,400
71653,55946,1910
71654,44641,1750
71655,50001,5220
71658,32961,210
71660,46072,330
71661,23730,100
71663,71088,260
71665,51827,2150
71667,45911,2740
71670,42823,470
71671,41539,3290
71674,41956,230
71675,45557,730
71676,37552,190
71701,43754,7230
71711,59745,240
71720,43362,950
71724,37438,180
71725,34910,200
71726,35947,420
71730,57491,12740
71740,47757,610
71742,39127,1970
71743,37806,1520
71744,48375,1190
71745,37307,130
71747,38602,350
71749,50631,1010
71751,49658,310
71752,36169,330
71753,50380,5520
71758,58693,160
71759,54943,300
71762,57281,1000
71763,48464,570
71764,40376,650
71765,41536,820
71766,39079,240
71770,38882,1220
71801,37560,5640
71822,48849,3220
71825,40612,240
71826,38269,390
71827,36932,280
71832,39779,3930
71833,44504,810
71834,44479,480
71835,41304,490
71836,44380,1050
71837,43593,1880
71838,33884,380
71841,40371,280
71842,44501,770
71845,36562,740
71846,43301,930
71847,42260,230
71851,34002,840
71852,43191,3960
71853,39783,180
71854,48615,14460
71855,32991,240
71857,38522,2220
71858,37205,570
71859,40930,130
71860,42677,850
71861,51091,780
71862,37817,280
71865,28490,100
71866,46058,240
71901,52048,11280
71909,62948,8550
71913,51941,19220
71921,39613,1110
71923,48530,5620
71929,45677,1910
71933,39920,550
71935,33371,210
71937,36204,660
71940,38569,560
71941,43865,700
71943,42591,1700
71944,39654,240
71945,36326,490
71949,40016,710
71950,37993,320
71953,41427,5340
71956,33712,700
71957,42176,1220
71958,43778,950
71959,42062,240
71960,35621,470
71961,37440,320
71962,39960,280
71964,45393,1590
71965,44700,120
71968,54761,1820
71969,33890,110
71970,36968,220
71971,39743,160
71972,39446,150
71973,34675,490
72001,36523,170
72002,58856,6980
72003,52280,300
72004,34317,450
72006,38175,870
72007,56800,3580
72010,45530,2220
72011,50719,1920
72012,51253,5150
72013,43909,750
72015,49798,11110
72016,53840,1180
72017,40800,230
72019,68827,11380
72020,40744,1340
72021,35045,1570
72022,57364,7400
72023,59497,15000
72024,53704,1410
72025,40290,320
72026,44233,120
72027,46876,520
72029,35489,680
72030,40676,250
72031,42827,2760
72032,47183,13190
72034,62162,19420
72036,26485,270
72039,44736,840
72040,41876,1040
72041,44182,520
72042,48097,1950
72044,47686,360
