n_business,n_coffee,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_starbucks,zipcode
856.0,70.0,333.0,311.0,13.0,199.0,28523.0,21.0,32.0,53.0,82.0,178.0,178.0,193.0,101.0,562.0,20.0,53228
532.0,36.0,222.0,139.0,6.0,165.0,12867.0,18.0,24.0,22.0,49.0,91.0,91.0,118.0,82.0,332.0,3.0,53406
312.0,29.0,112.0,101.0,7.0,92.0,7022.0,10.0,9.0,13.0,33.0,53.0,53.0,66.0,43.0,203.0,4.0,53189
50.0,3.0,11.0,19.0,1.0,19.0,399.0,5.0,1.0,2.0,4.0,3.0,3.0,17.0,7.0,26.0,0.0,54166
128.0,7.0,48.0,44.0,0.0,36.0,3022.0,5.0,10.0,14.0,15.0,26.0,26.0,24.0,11.0,93.0,1.0,53225
77.0,2.0,28.0,23.0,0.0,26.0,1299.0,1.0,1.0,2.0,4.0,18.0,18.0,18.0,8.0,51.0,0.0,53027
497.0,39.0,154.0,178.0,12.0,153.0,10442.0,21.0,8.0,19.0,44.0,85.0,85.0,105.0,93.0,299.0,5.0,54952
92.0,6.0,31.0,30.0,3.0,28.0,1678.0,5.0,2.0,3.0,4.0,21.0,21.0,21.0,11.0,60.0,0.0,54403
285.0,20.0,77.0,106.0,1.0,101.0,4836.0,10.0,4.0,12.0,34.0,62.0,62.0,54.0,39.0,192.0,3.0,53185
113.0,8.0,28.0,39.0,1.0,45.0,2015.0,9.0,5.0,4.0,12.0,18.0,18.0,18.0,17.0,78.0,1.0,54944
327.0,30.0,94.0,127.0,6.0,100.0,7869.0,7.0,8.0,26.0,24.0,70.0,70.0,69.0,49.0,209.0,6.0,53024
506.0,51.0,179.0,173.0,13.0,141.0,11125.0,16.0,13.0,22.0,40.0,83.0,83.0,121.0,73.0,312.0,6.0,53018
114.0,14.0,21.0,55.0,9.0,29.0,6266.0,0.0,0.0,4.0,2.0,22.0,22.0,34.0,25.0,55.0,0.0,54212
992.0,78.0,332.0,357.0,29.0,274.0,65224.0,20.0,16.0,36.0,55.0,185.0,185.0,297.0,183.0,512.0,10.0,53233
574.0,43.0,186.0,208.0,2.0,178.0,19431.0,15.0,16.0,41.0,63.0,122.0,122.0,101.0,64.0,409.0,7.0,53179
409.0,37.0,148.0,150.0,13.0,98.0,12312.0,8.0,12.0,21.0,46.0,75.0,75.0,89.0,44.0,276.0,8.0,53186
146.0,10.0,34.0,58.0,5.0,49.0,2447.0,4.0,0.0,4.0,9.0,22.0,22.0,34.0,35.0,77.0,0.0,54564
395.0,35.0,141.0,140.0,5.0,109.0,9787.0,18.0,30.0,35.0,43.0,77.0,77.0,82.0,37.0,276.0,5.0,53223
225.0,18.0,92.0,50.0,3.0,80.0,2950.0,5.0,3.0,12.0,23.0,40.0,40.0,51.0,28.0,146.0,2.0,53545
94.0,7.0,26.0,24.0,1.0,43.0,654.0,6.0,0.0,2.0,5.0,12.0,12.0,23.0,17.0,54.0,0.0,53034
423.0,36.0,160.0,154.0,8.0,101.0,12477.0,8.0,14.0,31.0,34.0,98.0,98.0,94.0,49.0,280.0,9.0,53154
63.0,2.0,22.0,17.0,2.0,22.0,1290.0,0.0,0.0,2.0,3.0,14.0,14.0,14.0,11.0,38.0,0.0,53168
99.0,11.0,35.0,35.0,5.0,24.0,2575.0,1.0,2.0,6.0,8.0,16.0,16.0,22.0,16.0,61.0,2.0,53183
46.0,5.0,13.0,16.0,0.0,17.0,428.0,1.0,3.0,2.0,4.0,6.0,6.0,8.0,10.0,28.0,0.0,54822
197.0,12.0,81.0,50.0,5.0,61.0,4027.0,7.0,4.0,11.0,11.0,36.0,36.0,48.0,31.0,118.0,1.0,53585
500.0,42.0,200.0,151.0,10.0,139.0,23240.0,15.0,17.0,27.0,36.0,90.0,90.0,131.0,84.0,285.0,5.0,53208
180.0,15.0,71.0,43.0,1.0,65.0,2416.0,4.0,3.0,11.0,20.0,35.0,35.0,38.0,19.0,123.0,2.0,53546
16.0,1.0,4.0,5.0,0.0,7.0,168.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,10.0,0.0,54003
159.0,12.0,46.0,63.0,3.0,47.0,3658.0,0.0,3.0,18.0,17.0,35.0,35.0,40.0,12.0,107.0,4.0,53022
63.0,4.0,17.0,12.0,0.0,34.0,513.0,1.0,0.0,2.0,1.0,8.0,8.0,22.0,10.0,31.0,0.0,54228
271.0,21.0,95.0,107.0,4.0,65.0,13062.0,2.0,5.0,23.0,17.0,64.0,64.0,65.0,52.0,154.0,5.0,53235
290.0,18.0,112.0,85.0,1.0,92.0,8219.0,14.0,16.0,9.0,29.0,57.0,57.0,67.0,38.0,185.0,2.0,53143
59.0,5.0,17.0,26.0,0.0,16.0,1735.0,1.0,2.0,2.0,2.0,11.0,11.0,15.0,10.0,34.0,1.0,53130
67.0,6.0,14.0,24.0,2.0,27.0,653.0,4.0,4.0,3.0,5.0,10.0,10.0,17.0,8.0,42.0,0.0,54449
64.0,5.0,20.0,22.0,1.0,21.0,714.0,3.0,2.0,3.0,2.0,9.0,9.0,19.0,9.0,36.0,0.0,54501
575.0,50.0,211.0,222.0,12.0,130.0,19256.0,15.0,19.0,31.0,70.0,134.0,134.0,121.0,51.0,403.0,14.0,53045
250.0,19.0,88.0,98.0,5.0,59.0,6021.0,4.0,11.0,29.0,29.0,61.0,61.0,52.0,21.0,177.0,5.0,53051
