zipcode,population,cost_of_living,area,median_income,n_business,n_coffee,n_costco,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_starbucks,n_wholefoods
53130,7913.0,100.5,3.2,69198.0,59.0,5.0,0.0,17.0,26.0,0.0,16.0,1735.0,1.0,2.0,2.0,2.0,11.0,11.0,15.0,10.0,34.0,1.0,0.0
53154,35723.0,100.1,28.5,70660.0,423.0,36.0,0.0,160.0,154.0,8.0,101.0,12477.0,8.0,14.0,31.0,34.0,98.0,98.0,94.0,49.0,280.0,9.0,0.0
53168,8752.0,106.0,35.2,75015.0,63.0,2.0,0.0,22.0,17.0,2.0,22.0,1290.0,0.0,0.0,2.0,3.0,14.0,14.0,14.0,11.0,38.0,0.0,0.0
53179,6825.0,105.9,10.8,66924.0,574.0,43.0,0.0,186.0,208.0,2.0,178.0,19431.0,15.0,16.0,41.0,63.0,122.0,122.0,101.0,64.0,409.0,7.0,0.0
53186,34513.0,99.7,12.6,58931.0,409.0,37.0,0.0,148.0,150.0,13.0,98.0,12312.0,8.0,12.0,21.0,46.0,75.0,75.0,89.0,44.0,276.0,8.0,0.0
53189,26587.0,99.9,47.4,85575.0,312.0,29.0,0.0,112.0,101.0,7.0,92.0,7022.0,10.0,9.0,13.0,33.0,53.0,53.0,66.0,43.0,203.0,4.0,0.0
53202,25186.0,101.4,2.1,53426.0,839.0,69.0,0.0,267.0,311.0,28.0,233.0,59516.0,13.0,7.0,32.0,45.0,164.0,164.0,260.0,159.0,420.0,9.0,0.0
53206,25160.0,97.9,2.7,23497.0,659.0,51.0,0.0,217.0,234.0,16.0,192.0,38258.0,15.0,16.0,22.0,46.0,136.0,136.0,191.0,103.0,365.0,7.0,0.0
53225,26611.0,99.1,6.9,43542.0,128.0,7.0,0.0,48.0,44.0,0.0,36.0,3022.0,5.0,10.0,14.0,15.0,26.0,26.0,24.0,11.0,93.0,1.0,0.0
53233,16012.0,101.5,1.7,14735.0,992.0,78.0,0.0,332.0,357.0,29.0,274.0,65224.0,20.0,16.0,36.0,55.0,185.0,185.0,297.0,183.0,512.0,10.0,0.0
53403,26627.0,96.6,9.5,44150.0,147.0,5.0,0.0,63.0,42.0,1.0,41.0,3044.0,5.0,3.0,3.0,7.0,27.0,27.0,33.0,29.0,85.0,0.0,0.0
53405,25526.0,96.5,6.5,53652.0,187.0,11.0,0.0,81.0,57.0,3.0,46.0,3952.0,6.0,10.0,7.0,19.0,35.0,35.0,32.0,34.0,121.0,2.0,0.0
53406,26625.0,97.2,16.6,61046.0,532.0,36.0,0.0,222.0,139.0,6.0,165.0,12867.0,18.0,24.0,22.0,49.0,91.0,91.0,118.0,82.0,332.0,3.0,0.0
53522,1135.0,87.6,38.7,57021.0,61.0,5.0,0.0,20.0,16.0,0.0,25.0,595.0,0.0,0.0,2.0,5.0,4.0,4.0,16.0,10.0,35.0,0.0,0.0
53525,4007.0,88.0,55.8,66395.0,287.0,22.0,0.0,108.0,73.0,2.0,104.0,3890.0,6.0,11.0,15.0,31.0,52.0,52.0,62.0,35.0,190.0,1.0,0.0
53528,6100.0,97.3,46.8,88600.0,203.0,14.0,0.0,84.0,68.0,7.0,44.0,9290.0,2.0,2.0,6.0,22.0,51.0,51.0,49.0,22.0,132.0,3.0,0.0
53545,23092.0,94.0,24.8,50388.0,225.0,18.0,0.0,92.0,50.0,3.0,80.0,2950.0,5.0,3.0,12.0,23.0,40.0,40.0,51.0,28.0,146.0,2.0,0.0
