zipcode,n_business,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_d1_bagels,n_d2_bagels,n_d3_bagels,n_d4_bagels,n_d1_gourmet,n_d2_gourmet,n_d3_gourmet,n_d4_gourmet,n_d1_french,n_d2_french,n_d3_french,n_d4_french,n_d1_breweries,n_d2_breweries,n_d3_breweries,n_d4_breweries,n_d1_steak,n_d2_steak,n_d3_steak,n_d4_steak,n_d1_grocery,n_d2_grocery,n_d3_grocery,n_d4_grocery,n_d1_wine_bars,n_d2_wine_bars,n_d3_wine_bars,n_d4_wine_bars,n_d1_burgers,n_d2_burgers,n_d3_burgers,n_d4_burgers,n_d1_sushi,n_d2_sushi,n_d3_sushi,n_d4_sushi,n_d1_coffee,n_d2_coffee,n_d3_coffee,n_d4_coffee,n_s1_bagels,n_s1plus_bagels,n_s2_bagels,n_s2plus_bagels,n_s3_bagels,n_s3plus_bagels,n_s4_bagels,n_s4plus_bagels,n_s5_bagels,n_s1_gourmet,n_s1plus_gourmet,n_s2_gourmet,n_s2plus_gourmet,n_s3_gourmet,n_s3plus_gourmet,n_s4_gourmet,n_s4plus_gourmet,n_s5_gourmet,n_s1_french,n_s1plus_french,n_s2_french,n_s2plus_french,n_s3_french,n_s3plus_french,n_s4_french,n_s4plus_french,n_s5_french,n_s1_breweries,n_s1plus_breweries,n_s2_breweries,n_s2plus_breweries,n_s3_breweries,n_s3plus_breweries,n_s4_breweries,n_s4plus_breweries,n_s5_breweries,n_s1_steak,n_s1plus_steak,n_s2_steak,n_s2plus_steak,n_s3_steak,n_s3plus_steak,n_s4_steak,n_s4plus_steak,n_s5_steak,n_s1_grocery,n_s1plus_grocery,n_s2_grocery,n_s2plus_grocery,n_s3_grocery,n_s3plus_grocery,n_s4_grocery,n_s4plus_grocery,n_s5_grocery,n_s1_wine_bars,n_s1plus_wine_bars,n_s2_wine_bars,n_s2plus_wine_bars,n_s3_wine_bars,n_s3plus_wine_bars,n_s4_wine_bars,n_s4plus_wine_bars,n_s5_wine_bars,n_s1_burgers,n_s1plus_burgers,n_s2_burgers,n_s2plus_burgers,n_s3_burgers,n_s3plus_burgers,n_s4_burgers,n_s4plus_burgers,n_s5_burgers,n_s1_sushi,n_s1plus_sushi,n_s2_sushi,n_s2plus_sushi,n_s3_sushi,n_s3plus_sushi,n_s4_sushi,n_s4plus_sushi,n_s5_sushi,n_s1_coffee,n_s1plus_coffee,n_s2_coffee,n_s2plus_coffee,n_s3_coffee,n_s3plus_coffee,n_s4_coffee,n_s4plus_coffee,n_s5_coffee,average_agi,p_ge_d2,p_ge_d3,score_d,score_avg_d,p_ge_s2,p_ge_s2plus,p_ge_s3,p_ge_s3plus,p_ge_s4,p_ge_s4plus,score_s,score_avg_s,score_d_categories,n_breweries,p_breweries,p_ge_d2_breweries,p_ge_d3_breweries,score_d_breweries,n_burgers,p_burgers,p_ge_d2_burgers,p_ge_d3_burgers,score_d_burgers,n_grocery,p_grocery,p_ge_d2_grocery,p_ge_d3_grocery,score_d_grocery,n_sushi,p_sushi,p_ge_d2_sushi,p_ge_d3_sushi,score_d_sushi,n_coffee,p_coffee,p_ge_d2_coffee,p_ge_d3_coffee,score_d_coffee,n_bagels,p_bagels,p_ge_d2_bagels,p_ge_d3_bagels,score_d_bagels,n_wine_bars,p_wine_bars,p_ge_d2_wine_bars,p_ge_d3_wine_bars,score_d_wine_bars,n_steak,p_steak,p_ge_d2_steak,p_ge_d3_steak,score_d_steak,n_french,p_french,p_ge_d2_french,p_ge_d3_french,score_d_french,n_gourmet,p_gourmet,p_ge_d2_gourmet,p_ge_d3_gourmet,score_d_gourmet,score_s_categories,n_s_breweries,p_s_breweries,p_ge_s2_breweries,p_ge_s2plus_breweries,p_ge_s3_breweries,p_ge_s3plus_breweries,p_ge_s4_breweries,p_ge_s4plus_breweries,p_ge_s5_breweries,score_s_breweries,n_s_burgers,p_s_burgers,p_ge_s2_burgers,p_ge_s2plus_burgers,p_ge_s3_burgers,p_ge_s3plus_burgers,p_ge_s4_burgers,p_ge_s4plus_burgers,p_ge_s5_burgers,score_s_burgers,n_s_grocery,p_s_grocery,p_ge_s2_grocery,p_ge_s2plus_grocery,p_ge_s3_grocery,p_ge_s3plus_grocery,p_ge_s4_grocery,p_ge_s4plus_grocery,p_ge_s5_grocery,score_s_grocery,n_s_sushi,p_s_sushi,p_ge_s2_sushi,p_ge_s2plus_sushi,p_ge_s3_sushi,p_ge_s3plus_sushi,p_ge_s4_sushi,p_ge_s4plus_sushi,p_ge_s5_sushi,score_s_sushi,n_s_coffee,p_s_coffee,p_ge_s2_coffee,p_ge_s2plus_coffee,p_ge_s3_coffee,p_ge_s3plus_coffee,p_ge_s4_coffee,p_ge_s4plus_coffee,p_ge_s5_coffee,score_s_coffee,n_s_bagels,p_s_bagels,p_ge_s2_bagels,p_ge_s2plus_bagels,p_ge_s3_bagels,p_ge_s3plus_bagels,p_ge_s4_bagels,p_ge_s4plus_bagels,p_ge_s5_bagels,score_s_bagels,n_s_wine_bars,p_s_wine_bars,p_ge_s2_wine_bars,p_ge_s2plus_wine_bars,p_ge_s3_wine_bars,p_ge_s3plus_wine_bars,p_ge_s4_wine_bars,p_ge_s4plus_wine_bars,p_ge_s5_wine_bars,score_s_wine_bars,n_s_steak,p_s_steak,p_ge_s2_steak,p_ge_s2plus_steak,p_ge_s3_steak,p_ge_s3plus_steak,p_ge_s4_steak,p_ge_s4plus_steak,p_ge_s5_steak,score_s_steak,n_s_french,p_s_french,p_ge_s2_french,p_ge_s2plus_french,p_ge_s3_french,p_ge_s3plus_french,p_ge_s4_french,p_ge_s4plus_french,p_ge_s5_french,score_s_french,n_s_gourmet,p_s_gourmet,p_ge_s2_gourmet,p_ge_s2plus_gourmet,p_ge_s3_gourmet,p_ge_s3plus_gourmet,p_ge_s4_gourmet,p_ge_s4plus_gourmet,p_ge_s5_gourmet,score_s_gourmet
53076,248,116,127,5,0,6234,0,106,333,493,1145,1856,1807,391,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,1,0,0,0,0,0,22,11,0,0,0,7,0,0,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,2,8,6,1,1,0,0,0,0,2,1,4,0,0,0,5,4,3,3,2,3,1,2,101115,0.53,0.02,385,1.55,0.98,0.93,0.85,0.67,0.37,0.08,21491.0,3.45,116,0,0.0,0.0,0.0,0,33,0.13,0.33,0.0,44,2,0.01,1.0,0.5,5,7,0.03,1.0,0.0,14,23,0.09,0.43,0.04,34,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,8,0.03,0.88,0.12,16,0,0.0,0.0,0.0,0,1,0.0,1.0,1.0,3,225.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33,0.01,0.82,0.64,0.55,0.48,0.24,0.06,0,96.0,2,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0,7.5,7,0.0,1.0,1.0,1.0,0.71,0.57,0.0,0,25.5,23,0.0,0.78,0.61,0.48,0.35,0.26,0.13,0,65.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,1.0,1.0,1.0,0.5,0.25,0.0,0,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5
53080,171,74,89,6,2,4541,3,32,33,204,561,1247,1498,885,78,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,1,0,0,5,0,0,12,4,0,0,0,1,0,0,9,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,2,2,2,3,1,4,2,0,0,0,0,0,0,1,0,0,0,0,2,2,1,3,1,4,2,1,59028,0.57,0.05,278,1.63,0.99,0.99,0.94,0.82,0.54,0.21,17039.0,3.75,77,2,0.01,0.5,0.0,3,16,0.09,0.25,0.0,20,1,0.01,1.0,1.0,3,1,0.01,1.0,0.0,2,16,0.09,0.44,0.0,23,1,0.01,0.0,0.0,1,5,0.03,1.0,0.0,10,5,0.03,1.0,0.4,12,0,0.0,0.0,0.0,0,1,0.01,1.0,1.0,3,167.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0,8.5,16,0.0,0.88,0.75,0.62,0.44,0.38,0.12,0,49.5,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5,16,0.0,0.88,0.75,0.69,0.5,0.44,0.19,0,52.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,5,0.0,1.0,1.0,1.0,0.8,0.8,0.4,0,20.0,5,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0,22.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5
53086,203,89,107,7,0,5253,0,79,291,169,986,1418,1689,523,98,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,5,3,0,1,1,1,0,0,0,0,0,18,14,0,0,0,4,0,0,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,3,4,7,5,2,1,0,0,0,0,1,1,2,0,0,0,2,3,2,2,2,3,2,2,76554,0.56,0.03,324,1.6,0.98,0.93,0.9,0.71,0.44,0.12,18643.5,3.55,116,1,0.0,1.0,0.0,2,32,0.16,0.44,0.0,46,3,0.01,0.67,0.33,6,4,0.02,1.0,0.0,8,18,0.09,0.61,0.06,30,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,8,0.04,1.0,0.38,19,0,0.0,0.0,0.0,0,2,0.01,1.0,0.5,5,220.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,32,0.01,0.88,0.69,0.59,0.47,0.25,0.09,0,96.0,3,0.0,1.0,1.0,1.0,1.0,0.33,0.33,0,12.0,4,0.0,1.0,1.0,1.0,0.75,0.5,0.0,0,14.5,18,0.0,0.89,0.72,0.61,0.5,0.39,0.22,0,58.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,1.0,1.0,1.0,0.5,0.38,0.25,0,28.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7.0
53091,35,14,21,0,0,525,0,15,0,8,57,69,256,108,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,52923,0.6,0.0,56,1.6,0.97,0.97,0.96,0.85,0.72,0.23,2025.0,3.86,15,0,0.0,0.0,0.0,0,5,0.14,0.4,0.0,7,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,5,0.14,0.2,0.0,6,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.03,1.0,0.0,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,39.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.01,0.8,0.8,0.8,0.6,0.6,0.2,0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.01,0.8,0.8,0.8,0.8,0.8,0.4,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53092,538,241,284,12,1,19716,48,556,768,1090,2892,6088,5739,2452,83,3,1,0,0,0,2,3,0,0,1,1,0,1,1,0,0,2,6,1,0,2,5,3,0,0,7,1,0,41,22,0,0,0,8,0,0,33,21,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3,1,1,0,0,0,0,1,1,3,4,1,0,0,0,0,0,1,2,2,3,0,3,15,8,7,7,11,8,4,0,0,0,0,0,2,2,4,0,0,3,9,4,7,5,9,10,6,3,180693,0.55,0.02,849,1.58,0.97,0.93,0.88,0.73,0.42,0.13,69532.0,3.53,263,2,0.0,0.5,0.0,3,63,0.12,0.35,0.0,85,10,0.02,0.8,0.3,21,8,0.01,1.0,0.0,16,56,0.1,0.41,0.04,81,4,0.01,0.25,0.0,5,8,0.01,1.0,0.12,17,9,0.02,0.78,0.11,17,2,0.0,1.0,0.5,5,5,0.01,1.0,0.6,13,512.5,2,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0,8.0,63,0.0,0.71,0.59,0.48,0.37,0.19,0.06,0,168.5,10,0.0,1.0,1.0,0.9,0.8,0.5,0.1,0,36.5,8,0.0,1.0,1.0,1.0,0.75,0.5,0.0,0,29.0,56,0.0,0.79,0.71,0.59,0.5,0.34,0.16,0,170.5,4,0.0,1.0,1.0,1.0,0.5,0.25,0.0,0,13.5,8,0.0,1.0,1.0,1.0,0.88,0.62,0.38,0,31.5,9,0.0,1.0,1.0,0.78,0.56,0.22,0.11,0,30.0,2,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0,7.5,5,0.0,1.0,1.0,1.0,0.8,0.2,0.0,0,17.5
53098,46,26,20,0,0,601,9,18,22,23,69,65,115,267,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,54113,0.43,0.0,66,1.43,0.96,0.92,0.88,0.77,0.66,0.47,2298.5,3.82,12,0,0.0,0.0,0.0,0,3,0.07,0.33,0.0,4,0,0.0,0.0,0.0,0,1,0.02,1.0,0.0,2,4,0.09,0.5,0.0,6,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,27.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.67,0.67,0.67,0.33,0.33,0.0,0,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5,4,0.01,0.75,0.75,0.75,0.75,0.75,0.5,0,14.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53105,61,25,32,2,2,1730,1,0,20,179,104,578,433,385,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,4,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,66776,0.59,0.07,103,1.69,1.0,0.99,0.88,0.82,0.49,0.24,6438.0,3.72,35,0,0.0,0.0,0.0,0,6,0.1,0.83,0.17,13,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,4,0.07,0.5,0.25,8,0,0.0,0.0,0.0,0,3,0.05,1.0,0.67,8,2,0.03,1.0,0.0,4,0,0.0,0.0,0.0,0,1,0.02,1.0,0.0,2,53.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,0.0,1.0,0.67,0.67,0.5,0.5,0.17,0,19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,1.0,0.75,0.25,0.25,0.25,0.0,0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,1.0,1.0,1.0,1.0,0.33,0.33,0,12.0,2,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5
53119,77,38,37,1,1,1854,0,12,5,102,97,230,694,650,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,1,77840,0.51,0.03,119,1.55,0.99,0.99,0.94,0.88,0.76,0.39,7400.0,3.99,25,0,0.0,0.0,0.0,0,8,0.1,0.25,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,8,0.1,0.12,0.0,9,0,0.0,0.0,0.0,0,2,0.03,1.0,0.5,6,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,64.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,0.88,0.88,0.75,0.62,0.5,0.25,0,27.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,0.88,0.88,0.75,0.75,0.62,0.38,0,29.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0,7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53128,240,105,121,12,2,12673,17,203,39,734,2348,3310,3503,2344,175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,1,0,0,2,4,4,0,9,10,0,1,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,2,2,1,1,2,2,2,2,2,6,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,5,1,52843,0.56,0.06,391,1.63,0.98,0.98,0.92,0.74,0.48,0.2,46298.5,3.65,106,0,0.0,0.0,0.0,0,20,0.08,0.55,0.05,33,2,0.01,0.5,0.0,3,0,0.0,0.0,0.0,0,14,0.06,0.14,0.07,18,0,0.0,0.0,0.0,0,10,0.04,0.8,0.4,22,12,0.05,1.0,0.33,28,0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,2,205.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20,0.0,0.85,0.75,0.65,0.55,0.45,0.15,0,64.0,2,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,0.93,0.79,0.64,0.64,0.5,0.43,0,49.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10,0.0,1.0,1.0,1.0,0.9,0.5,0.3,0,39.0,12,0.0,1.0,1.0,0.92,0.75,0.17,0.0,0,41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5
53129,175,83,88,4,0,6474,6,75,143,206,1429,1824,1992,751,48,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,3,0,0,15,9,0,0,0,5,0,0,9,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,1,1,2,4,1,7,5,3,1,0,0,0,0,0,0,2,3,0,0,0,2,2,0,3,4,4,1,0,71875,0.53,0.02,271,1.55,0.99,0.97,0.93,0.71,0.43,0.12,23178.0,3.58,99,0,0.0,0.0,0.0,0,24,0.14,0.38,0.0,33,4,0.02,0.75,0.25,8,5,0.03,1.0,0.0,10,16,0.09,0.44,0.06,24,1,0.01,0.0,0.0,1,3,0.02,1.0,0.0,6,4,0.02,1.0,0.5,10,0,0.0,0.0,0.0,0,3,0.02,1.0,0.33,7,197.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.88,0.71,0.67,0.38,0.17,0.04,0,69.5,4,0.0,1.0,1.0,1.0,1.0,0.75,0.25,0,16.0,5,0.0,1.0,1.0,1.0,1.0,0.6,0.0,0,19.0,16,0.0,0.88,0.75,0.75,0.56,0.31,0.06,0,50.5,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,3,0.0,1.0,1.0,1.0,1.0,0.67,0.67,0,13.0,4,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,1.0,1.0,1.0,1.0,0.67,0.33,0,12.0
53130,43,17,26,0,0,1582,0,29,21,23,262,427,700,115,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0,66907,0.6,0.0,69,1.6,0.98,0.97,0.95,0.79,0.52,0.08,5766.0,3.64,23,0,0.0,0.0,0.0,0,5,0.12,0.2,0.0,6,1,0.02,1.0,0.0,2,2,0.05,1.0,0.0,4,5,0.12,0.2,0.0,6,1,0.02,0.0,0.0,1,1,0.02,1.0,0.0,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.02,1.0,0.0,2,53.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0.8,0.8,0.8,0.4,0.2,0.0,0,15.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5,2,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0,7.5,5,0.0,0.6,0.6,0.6,0.4,0.0,0.0,0,13.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5
53139,147,69,76,0,2,5542,0,33,65,276,922,2417,1141,655,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,14,8,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,1,0,65989,0.53,0.01,229,1.56,0.99,0.98,0.93,0.77,0.33,0.12,19771.5,3.57,54,0,0.0,0.0,0.0,0,22,0.15,0.36,0.0,30,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,11,0.07,0.27,0.0,14,0,0.0,0.0,0.0,0,1,0.01,1.0,0.0,2,3,0.02,1.0,0.0,6,0,0.0,0.0,0.0,0,1,0.01,1.0,0.0,2,115.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22,0.0,0.91,0.73,0.59,0.5,0.18,0.0,0,65.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11,0.0,0.91,0.73,0.36,0.27,0.18,0.09,0,30.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5.0,3,0.0,1.0,1.0,1.0,0.67,0.33,0.0,0,10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5
