zipcode,name,price,rating,review_count,categories
54166,Luigis Pasta & Pizza,$$,4.0,42,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
54166,Bubba's BBQ,$$,4.0,46,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
54166,Farm Inn' On Main,$,4.0,49,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
54166,El Tequila,$,4.5,17,"[{'alias': 'mexican', 'title': 'Mexican'}]"
54166,Bean & Books Coffee House,$,4.5,10,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
54166,The Launching Pad,$,4.0,20,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'pizza', 'title': 'Pizza'}]"
54166,Hunan Chinese Restaurant,$$,4.0,8,"[{'alias': 'chinese', 'title': 'Chinese'}]"
54166,Bult's Bakery,$,5.0,4,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]"
54166,Club 22,$$$,4.0,9,"[{'alias': 'german', 'title': 'German'}]"
54166,"Glas, The Green Coffeehouse",$$,4.0,12,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
54166,Longhorn Saloon,$$,3.5,9,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
54166,Wasabi Japanese Restaurant,$$,4.5,6,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]"
54166,Classic's Restaurant & Lounge,$$,4.0,16,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
54166,The Lighthouse,$$,4.0,12,"[{'alias': 'seafood', 'title': 'Seafood'}]"
54166,Anello's Torch Lite,$$,3.0,25,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
54166,Spinning Wheel Inn,$$,4.5,5,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
54166,Brothers' Pub,$$,3.5,12,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]"
54166,The Studio Lounge,$$,4.0,4,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
54166,Flamingo's Family Restaurant,$$,2.5,7,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
54166,Subway,$,5.0,1,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
54166,Perkins Restaurant & Bakery,$$,3.5,3,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
54166,Twig's beverages,$,4.0,1,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'museums', 'title': 'Museums'}]"
54166,Home Plate Cafe,$,2.5,4,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
54166,Coachlight Bar & Grill,$,4.0,4,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'restaurants', 'title': 'Restaurants'}]"
54166,Emperor's Buffet,$,2.0,6,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
54166,The Corner Bar,$$,5.0,1,"[{'alias': 'pubs', 'title': 'Pubs'}]"
54166,Woodland,$$,4.0,4,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
54166,Shawano Four Seasons Resort,$$,2.5,6,"[{'alias': 'resorts', 'title': 'Resorts'}, {'alias': 'supperclubs', 'title': 'Supper Clubs'}]"
54166,Hardee's,$,2.0,4,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
54166,Mickster's,$$,4.5,3,"[{'alias': 'bars', 'title': 'Bars'}]"
54166,Bamboo Bar,$$,4.0,1,"[{'alias': 'lounges', 'title': 'Lounges'}]"
