alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
blues-egg-milwaukee-milwaukee,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 43.03430316632, 'longitude': -88.0076330155134}",(414) 299-3180,1714.3879397157416,BIMfFGsAHjzvjSTcJWuJwQ,https://s3-media1.fl.yelpcdn.com/bphoto/HXv0cez7oBNm5mE_M5zUWw/o.jpg,False,"{'address1': '317 N 76th St', 'address2': '', 'address3': '', 'city': 'Milwaukee', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['317 N 76th St', 'Milwaukee, WI 53213']}",Blue's Egg - Milwaukee,+14142993180,$$,4.5,1316,[],https://www.yelp.com/biz/blues-egg-milwaukee-milwaukee?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
ono-kine-grindz-wauwatosa,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'delis', 'title': 'Delis'}]","{'latitude': 43.06048, 'longitude': -88.0026}",(414) 778-0727,1289.9803763342622,EcMDuvX7fTOpp20n4Id1jw,https://s3-media4.fl.yelpcdn.com/bphoto/PntJ05uGLcJrgCKL7_wk7w/o.jpg,False,"{'address1': '7215 W North Ave', 'address2': '', 'address3': '', 'city': 'Wauwatosa', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['7215 W North Ave', 'Wauwatosa, WI 53213']}",Ono Kine Grindz,+14147780727,$,4.5,406,['pickup'],https://www.yelp.com/biz/ono-kine-grindz-wauwatosa?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
le-reve-patisserie-and-café-wauwatosa,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.04985, 'longitude': -88.00784}",(414) 778-3333,519.2050663434168,uU8eveRexpJBijVftMoiSg,https://s3-media4.fl.yelpcdn.com/bphoto/tV4HqsEHsZgtgHN8A9Jq9w/o.jpg,False,"{'address1': '7610 Harwood Ave', 'address2': '', 'address3': '', 'city': 'Wauwatosa', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['7610 Harwood Ave', 'Wauwatosa, WI 53213']}",Le Reve Patisserie & Café,+14147783333,$$,4.5,413,['restaurant_reservation'],https://www.yelp.com/biz/le-reve-patisserie-and-caf%C3%A9-wauwatosa?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
story-hill-bkc-milwaukee,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 43.0368978590487, 'longitude': -87.9778010002006}",(414) 539-4424,2354.4671728359945,2gsMqFEpjfJemtcMLyvqqg,https://s3-media2.fl.yelpcdn.com/bphoto/EAXo2RiXaK-XO2oGJAP3KQ/o.jpg,False,"{'address1': '5100 W Bluemound Rd', 'address2': '', 'address3': '', 'city': 'Milwaukee', 'zip_code': '53208', 'country': 'US', 'state': 'WI', 'display_address': ['5100 W Bluemound Rd', 'Milwaukee, WI 53208']}",Story Hill BKC,+14145394424,$$,4.5,481,[],https://www.yelp.com/biz/story-hill-bkc-milwaukee?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
maxies-milwaukee,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 43.03162, 'longitude': -87.99712}",(414) 292-3969,1968.299002220784,poMcdF7PM-EmOdm327qsgA,https://s3-media2.fl.yelpcdn.com/bphoto/w3aB33tOS2dwcuBbmxJ1dg/o.jpg,False,"{'address1': '6732 W Fairview Ave', 'address2': '', 'address3': '', 'city': 'Milwaukee', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['6732 W Fairview Ave', 'Milwaukee, WI 53213']}",Maxie's,+14142923969,$$,4.0,614,[],https://www.yelp.com/biz/maxies-milwaukee?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
cosmos-café-wauwatosa-2,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 43.06048, 'longitude': -88.00226}",(414) 257-2005,1266.6409734802896,PEBLTriT4ACxLELxWbiY3g,https://s3-media2.fl.yelpcdn.com/bphoto/Qgv3WsjaXzCykZkk5_vgZA/o.jpg,False,"{'address1': '7203 W North Ave', 'address2': None, 'address3': None, 'city': 'Wauwatosa', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['7203 W North Ave', 'Wauwatosa, WI 53213']}",Cosmos Café,+14142572005,$,4.5,197,['pickup'],https://www.yelp.com/biz/cosmos-caf%C3%A9-wauwatosa-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
rocket-baby-bakery-wauwatosa,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.0608783803855, 'longitude': -87.9982467350537}",(414) 502-7323,1340.849136439801,_aC_2Oe-3CZCaRzQBdhemw,https://s3-media4.fl.yelpcdn.com/bphoto/KDCVQMMMeL3CkWolAFo1Aw/o.jpg,False,"{'address1': '6822 W North Ave', 'address2': '', 'address3': '', 'city': 'Wauwatosa', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['6822 W North Ave', 'Wauwatosa, WI 53213']}",Rocket Baby Bakery,+14145027323,$,4.5,237,[],https://www.yelp.com/biz/rocket-baby-bakery-wauwatosa?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
valentine-coffee-roasters-milwaukee-2,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 43.0500686, 'longitude': -87.9871235}",(414) 988-8018,1175.0490500396438,msTroJP3a8TopV-dS62rBw,https://s3-media1.fl.yelpcdn.com/bphoto/RlRQ-wcAtpRvF9kckONDtw/o.jpg,False,"{'address1': '5918 W Vliet St', 'address2': '', 'address3': '', 'city': 'Milwaukee', 'zip_code': '53208', 'country': 'US', 'state': 'WI', 'display_address': ['5918 W Vliet St', 'Milwaukee, WI 53208']}",Valentine Coffee Roasters,+14149888018,$,4.5,137,[],https://www.yelp.com/biz/valentine-coffee-roasters-milwaukee-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
cranky-al-s-wauwatosa,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'donuts', 'title': 'Donuts'}]","{'latitude': 43.0606366208017, 'longitude': -87.9987881850751}",(414) 258-5282,1306.3259141481192,LteB1PgVbQVKf2ekJsH8Pw,https://s3-media3.fl.yelpcdn.com/bphoto/kgVNdnegxdG0NjTqqMEq3w/o.jpg,False,"{'address1': '6901 W North Ave', 'address2': None, 'address3': '', 'city': 'Wauwatosa', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['6901 W North Ave', 'Wauwatosa, WI 53213']}",Cranky Al’s,+14142585282,$,4.5,195,[],https://www.yelp.com/biz/cranky-al-s-wauwatosa?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
yo-mama-wauwatosa,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 43.0501263057263, 'longitude': -88.0073982695519}",(414) 988-5365,450.608557712054,Tohbd_sAR8c9mUEGbsv7YQ,https://s3-media4.fl.yelpcdn.com/bphoto/7n_EmzCQF3oxbMAOvqr9mg/o.jpg,False,"{'address1': '1349 Wauwatosa Ave', 'address2': '', 'address3': '', 'city': 'Wauwatosa', 'zip_code': '53213', 'country': 'US', 'state': 'WI', 'display_address': ['1349 Wauwatosa Ave', 'Wauwatosa, WI 53213']}",Yo Mama!,+14149885365,$,4.5,104,[],https://www.yelp.com/biz/yo-mama-wauwatosa?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
