alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
taqueria-la-poblanita-eau-claire,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.7932544, 'longitude': -91.4633428}",(715) 831-2131,6229.8574468867155,Web1yPwESreoutuo6ZLyrg,https://s3-media4.fl.yelpcdn.com/bphoto/z8A9lrdbHxuA4riAtOnAmA/o.jpg,False,"{'address1': '2436 London Rd', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54701', 'country': 'US', 'state': 'WI', 'display_address': ['2436 London Rd', 'Eau Claire, WI 54701']}",Taqueria La Poblanita,+17158312131,$,4.5,114,[],https://www.yelp.com/biz/taqueria-la-poblanita-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-nucleus-cafe-eau-claire,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.8020381170519, 'longitude': -91.5081326895154}",(715) 834-7777,5859.43283999543,H2abdQxmfgd33aoElETTVg,https://s3-media4.fl.yelpcdn.com/bphoto/B_feIx8CuJLWfjMkXGDwIw/o.jpg,False,"{'address1': '405 Water St', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54703', 'country': 'US', 'state': 'WI', 'display_address': ['405 Water St', 'Eau Claire, WI 54703']}",The Nucleus Cafe,+17158347777,$$,4.0,185,[],https://www.yelp.com/biz/the-nucleus-cafe-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mona-lisas-restaurant-eau-claire,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 44.802386, 'longitude': -91.508988}",(715) 839-8969,5893.675625099738,8AQxFP0J57C-jB2yuJYDkg,https://s3-media2.fl.yelpcdn.com/bphoto/SXKySZ_D_zLFQufPuNA43g/o.jpg,False,"{'address1': '428 Water St', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54703', 'country': 'US', 'state': 'WI', 'display_address': ['428 Water St', 'Eau Claire, WI 54703']}",Mona Lisa's Restaurant,+17158398969,$$,4.0,138,['restaurant_reservation'],https://www.yelp.com/biz/mona-lisas-restaurant-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
tacos-juanita-eau-claire,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.7849614678103, 'longitude': -91.4617542829334}",(715) 835-3229,5672.133010897177,fLGGaHifePiKY0XtQUVn4g,https://s3-media3.fl.yelpcdn.com/bphoto/IhxBH03jdiRICwHAJeGSgw/o.jpg,False,"{'address1': '2823 E Hamilton Ave', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54701', 'country': 'US', 'state': 'WI', 'display_address': ['2823 E Hamilton Ave', 'Eau Claire, WI 54701']}",Tacos Juanita,+17158353229,$,4.5,78,[],https://www.yelp.com/biz/tacos-juanita-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
randys-family-restaurant-eau-claire,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]","{'latitude': 44.7883758544922, 'longitude': -91.5183410644531}",(715) 839-8449,4345.55497271569,pBhaCEcdbdDv76kMwm8Nng,https://s3-media4.fl.yelpcdn.com/bphoto/W7nXxDJfvCuWPGcpbyl8Zg/o.jpg,False,"{'address1': '1132 W Macarthur Ave', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54701', 'country': 'US', 'state': 'WI', 'display_address': ['1132 W Macarthur Ave', 'Eau Claire, WI 54701']}",Randy's Family Restaurant,+17158398449,$,4.5,75,[],https://www.yelp.com/biz/randys-family-restaurant-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-french-press-eau-claire,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.788007, 'longitude': -91.46166}",(715) 598-7017,5917.788618722023,nRfDQNONk8Wuk7aMCH08TA,https://s3-media4.fl.yelpcdn.com/bphoto/aUCDcIT5Ga1zMx7WMgLh8w/o.jpg,False,"{'address1': '2823 London Rd', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54701', 'country': 'US', 'state': 'WI', 'display_address': ['2823 London Rd', 'Eau Claire, WI 54701']}",The French Press,+17155987017,$,4.0,83,[],https://www.yelp.com/biz/the-french-press-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
milwaukee-burger-company-eau-claire,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.7952, 'longitude': -91.46404}",(715) 834-6503,6407.115519170023,vZtJ7FR6C8jPaAoJtafdhg,https://s3-media3.fl.yelpcdn.com/bphoto/KrH_qWWlq15bWwpPK6DOQg/o.jpg,False,"{'address1': '2620 E Clairemont Ave', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54701', 'country': 'US', 'state': 'WI', 'display_address': ['2620 E Clairemont Ave', 'Eau Claire, WI 54701']}",Milwaukee Burger Company,+17158346503,$$,4.0,152,[],https://www.yelp.com/biz/milwaukee-burger-company-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
rays-place-eau-claire,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.802323754247, 'longitude': -91.5176278119548}",(715) 832-3991,5886.22851005431,83FAmXd_qDgvKht1Lo49ug,https://s3-media4.fl.yelpcdn.com/bphoto/Hy74-8vMZrEMdOMAlTYyQg/o.jpg,False,"{'address1': '838 Water St', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54703', 'country': 'US', 'state': 'WI', 'display_address': ['838 Water St', 'Eau Claire, WI 54703']}",Ray's Place,+17158323991,$,4.5,41,[],https://www.yelp.com/biz/rays-place-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
egg-roll-plus-eau-claire,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.8158378601074, 'longitude': -91.5110626220703}",(715) 832-6125,7383.18878045926,KR5TqzYJwO2MYa2lI1iM5g,https://s3-media2.fl.yelpcdn.com/bphoto/n4itAnufOZ9ixK7hAML88w/o.jpg,False,"{'address1': '1611 Bellinger St', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54703', 'country': 'US', 'state': 'WI', 'display_address': ['1611 Bellinger St', 'Eau Claire, WI 54703']}",Egg Roll Plus,+17158326125,$,4.5,98,[],https://www.yelp.com/biz/egg-roll-plus-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
grizzlys-wood-fired-grill-eau-claire,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.77821, 'longitude': -91.440634}",(715) 832-6481,6550.900502941365,dS1wOAutw8bdSWkcnyLMhg,https://s3-media2.fl.yelpcdn.com/bphoto/mFRLpxEW9HWWsBtYUE0kpw/o.jpg,False,"{'address1': '4890 Golf Rd', 'address2': '', 'address3': '', 'city': 'Eau Claire', 'zip_code': '54701', 'country': 'US', 'state': 'WI', 'display_address': ['4890 Golf Rd', 'Eau Claire, WI 54701']}",Grizzly's Wood-Fired Grill,+17158326481,$$,4.0,114,[],https://www.yelp.com/biz/grizzlys-wood-fired-grill-eau-claire?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
