alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
novanta-madison,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 43.0753733442932, 'longitude': -89.5296266588608}",(608) 831-7740,10281.142512263132,nsw3tlB-hwz4KbPYcuaSww,https://s3-media1.fl.yelpcdn.com/bphoto/U_poGUtjtPTaFNHPYbUDow/o.jpg,False,"{'address1': '8452 Old Sauk Rd', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['8452 Old Sauk Rd', 'Madison, WI 53562']}",Novanta,+16088317740,$$,4.5,222,"['pickup', 'delivery']",https://www.yelp.com/biz/novanta-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
dhaba-indian-bistro-middleton,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 43.08968, 'longitude': -89.52644}",(608) 203-8822,9767.792067047236,B2KSgKekQfeOFHWH7g68Tg,https://s3-media3.fl.yelpcdn.com/bphoto/TY7rqGjmuWmpfjE3iiAN3g/o.jpg,False,"{'address1': '8333 Greenway Blvd', 'address2': 'Ste 100', 'address3': '', 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['8333 Greenway Blvd', 'Ste 100', 'Middleton, WI 53562']}",Dhaba Indian Bistro,+16082038822,$$,4.5,229,"['pickup', 'delivery']",https://www.yelp.com/biz/dhaba-indian-bistro-middleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
eno-vino-wine-bar-and-bistro-madison,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 43.073189, 'longitude': -89.525189}",(608) 664-9565,10715.447817369948,aRIZPbrHwnM04TTXLYrFMg,https://s3-media3.fl.yelpcdn.com/bphoto/tZwrOoEF9CVxVzF7CQPyaQ/o.jpg,False,"{'address1': '601 Junction Rd', 'address2': None, 'address3': '', 'city': 'Madison', 'zip_code': '53717', 'country': 'US', 'state': 'WI', 'display_address': ['601 Junction Rd', 'Madison, WI 53717']}",Eno Vino Wine Bar & Bistro,+16086649565,$$$,4.0,275,[],https://www.yelp.com/biz/eno-vino-wine-bar-and-bistro-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
national-mustard-museum-middleton,"[{'alias': 'museums', 'title': 'Museums'}]","{'latitude': 43.0953035393213, 'longitude': -89.5114026929359}",(608) 831-2222,10713.543951446592,kZajhnQA9KS0rCLwME8Eng,https://s3-media1.fl.yelpcdn.com/bphoto/ppWrN3zyTEcCBs-4_hmAFQ/o.jpg,False,"{'address1': '7477 Hubbard Ave', 'address2': '', 'address3': '', 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['7477 Hubbard Ave', 'Middleton, WI 53562']}",National Mustard Museum,+16088312222,,4.5,123,[],https://www.yelp.com/biz/national-mustard-museum-middleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
pho-nam-noodle-house-madison,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 43.07321, 'longitude': -89.52688}",(608) 836-7040,10610.81239406549,vzqzoa-plufwTsQUwW_s6Q,https://s3-media4.fl.yelpcdn.com/bphoto/h5hGhlXF0FJpAMlIhvtuxA/o.jpg,False,"{'address1': '610 Junction Rd', 'address2': 'Ste 109', 'address3': '', 'city': 'Madison', 'zip_code': '53717', 'country': 'US', 'state': 'WI', 'display_address': ['610 Junction Rd', 'Ste 109', 'Madison, WI 53717']}",Pho Nam Noodle House,+16088367040,$,4.0,159,[],https://www.yelp.com/biz/pho-nam-noodle-house-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
compadres-mexican-restaurant-middleton-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 43.0961260241632, 'longitude': -89.5146005353593}",(608) 203-8332,10438.450370083823,oJQTaE-0pyDly6z0T05wxA,https://s3-media1.fl.yelpcdn.com/bphoto/bA64pYMaq7_8r4Rxs8zjJQ/o.jpg,False,"{'address1': '1900 Cayuga St', 'address2': 'Ste 105', 'address3': None, 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['1900 Cayuga St', 'Ste 105', 'Middleton, WI 53562']}",Compadres Mexican Restaurant,+16082038332,$$,4.5,104,[],https://www.yelp.com/biz/compadres-mexican-restaurant-middleton-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
taigu-middleton-3,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 43.096083, 'longitude': -89.51364}",(608) 831-3458,10514.377003829357,OgwN65jZebPRIPSmNpRP7A,https://s3-media3.fl.yelpcdn.com/bphoto/C1PCS2gPmIRhqFrVIybJnw/o.jpg,False,"{'address1': '7610 Elmwood Ave', 'address2': '', 'address3': '', 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['7610 Elmwood Ave', 'Middleton, WI 53562']}",Taigu,+16088313458,$$,4.0,127,"['pickup', 'delivery']",https://www.yelp.com/biz/taigu-middleton-3?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
freska-mediterranean-grill-middleton,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 43.0903639, 'longitude': -89.5249516}",(608) 203-5034,9803.448271051317,COnqdubhr87gCDJjPGwT6A,https://s3-media3.fl.yelpcdn.com/bphoto/ynAn_B9pMOc5kdfapXtn3A/o.jpg,False,"{'address1': '8310 Greenway Blvd', 'address2': 'Ste 104', 'address3': '', 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['8310 Greenway Blvd', 'Ste 104', 'Middleton, WI 53562']}",Freska Mediterranean Grill,+16082035034,$,4.0,94,"['pickup', 'delivery']",https://www.yelp.com/biz/freska-mediterranean-grill-middleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
biaggis-ristorante-italiano-middleton,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 43.0911026027672, 'longitude': -89.5291439071298}",(608) 664-9288,9516.875478547896,Ojw5eTqzbv6k27_Df3q0-A,https://s3-media1.fl.yelpcdn.com/bphoto/9y-tFlZrkFTKp8TSbXw9yw/o.jpg,False,"{'address1': '1611 Aspen Commons', 'address2': '', 'address3': '', 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['1611 Aspen Commons', 'Middleton, WI 53562']}",Biaggi's Ristorante Italiano,+16086649288,$$,3.5,166,['delivery'],https://www.yelp.com/biz/biaggis-ristorante-italiano-middleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
johnnys-italian-steakhouse-middleton,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 43.0936470031738, 'longitude': -89.5266799926758}",(608) 831-3705,9591.001320389054,6okGKL2PA7kkc-GjZzNHnA,https://s3-media3.fl.yelpcdn.com/bphoto/GWnQCUDonZax8a7rfV8Paw/o.jpg,False,"{'address1': '8390 Market St', 'address2': '', 'address3': '', 'city': 'Middleton', 'zip_code': '53562', 'country': 'US', 'state': 'WI', 'display_address': ['8390 Market St', 'Middleton, WI 53562']}",Johnny's Italian Steakhouse,+16088313705,$$,3.5,199,[],https://www.yelp.com/biz/johnnys-italian-steakhouse-middleton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
