alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
taqueria-guadalajara-waukesha,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 43.0245607281666, 'longitude': -88.2421848586054}",(262) 875-3981,4151.49757703954,W6IDFt2_7SUz70FFXSJ9gA,https://s3-media3.fl.yelpcdn.com/bphoto/1J0XFeC4vpGapikAFN29Og/o.jpg,False,"{'address1': '801 W Moreland Blvd', 'address2': 'Unit C', 'address3': None, 'city': 'Waukesha', 'zip_code': '53188', 'country': 'US', 'state': 'WI', 'display_address': ['801 W Moreland Blvd', 'Unit C', 'Waukesha, WI 53188']}",Taqueria Guadalajara,+12628753981,$,5.0,71,[],https://www.yelp.com/biz/taqueria-guadalajara-waukesha?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
toftes-table-waukesha-2,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 43.0120729, 'longitude': -88.2323931}",(262) 408-5633,5338.130136476211,bd8YVeMHgsyjg2dnWwJ7ng,https://s3-media1.fl.yelpcdn.com/bphoto/ac1are0HNCkwzgKHdisBYw/o.jpg,False,"{'address1': '331 Riverfront St', 'address2': '', 'address3': None, 'city': 'Waukesha', 'zip_code': '53186', 'country': 'US', 'state': 'WI', 'display_address': ['331 Riverfront St', 'Waukesha, WI 53186']}",Tofte's Table,+12624085633,$$$,4.5,117,[],https://www.yelp.com/biz/toftes-table-waukesha-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
taylors-peoples-park-waukesha,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 43.011072, 'longitude': -88.232649}",(262) 522-6868,5365.838262378322,2v6Eflo4rGz_7q_1rCweJw,https://s3-media2.fl.yelpcdn.com/bphoto/ueVMWrwpjFaab2JV5ZpKiQ/o.jpg,False,"{'address1': '337 W Main St', 'address2': '', 'address3': '', 'city': 'Waukesha', 'zip_code': '53186', 'country': 'US', 'state': 'WI', 'display_address': ['337 W Main St', 'Waukesha, WI 53186']}",Taylor's People's Park,+12625226868,$$,4.0,230,[],https://www.yelp.com/biz/taylors-peoples-park-waukesha?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
grill-junkies-delafield,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 43.04923, 'longitude': -88.37672}",(262) 646-2725,7133.576620966597,pWnRyC7TQgrLORLcFwksmA,https://s3-media4.fl.yelpcdn.com/bphoto/9mRA2hDGPoLwHh6eluMbqA/o.jpg,False,"{'address1': '2566 Sun Valley Dr', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['2566 Sun Valley Dr', 'Delafield, WI 53018']}",Grill Junkies,+12626462725,$$,4.5,95,[],https://www.yelp.com/biz/grill-junkies-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mainstream-bar-and-grill-waukesha,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 43.01093, 'longitude': -88.23438}",(262) 544-6222,5242.677341281872,0PODg8hjn9R1yMt03i3xtA,https://s3-media3.fl.yelpcdn.com/bphoto/2JXU91-7zZrFjeoCVw7xiw/o.jpg,False,"{'address1': '404 W Main St', 'address2': None, 'address3': '', 'city': 'Waukesha', 'zip_code': '53186', 'country': 'US', 'state': 'WI', 'display_address': ['404 W Main St', 'Waukesha, WI 53186']}",Mainstream Bar & Grill,+12625446222,$$,4.5,128,[],https://www.yelp.com/biz/mainstream-bar-and-grill-waukesha?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
rochester-deli-waukesha-3,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 43.0103099, 'longitude': -88.2286699}",(262) 522-9611,5669.9817538935185,G7-dlJYMMrRoCfdZKQDgWQ,https://s3-media3.fl.yelpcdn.com/bphoto/fkx9oatCXuNiVhAn5yk6pQ/o.jpg,False,"{'address1': '143 W Broadway', 'address2': '', 'address3': '', 'city': 'Waukesha', 'zip_code': '53186', 'country': 'US', 'state': 'WI', 'display_address': ['143 W Broadway', 'Waukesha, WI 53186']}",Rochester Deli,+12625229611,$,4.0,103,['pickup'],https://www.yelp.com/biz/rochester-deli-waukesha-3?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
artisan-179-pewaukee-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 43.084285, 'longitude': -88.2641565}",(262) 691-0200,6277.62672881986,PFzLPwR9JkOS3Q5cOaULCg,https://s3-media3.fl.yelpcdn.com/bphoto/z7sHd33pMJh6b9XwN3-B5Q/o.jpg,False,"{'address1': '179 W Wisconsin Ave', 'address2': None, 'address3': '', 'city': 'Pewaukee', 'zip_code': '53072', 'country': 'US', 'state': 'WI', 'display_address': ['179 W Wisconsin Ave', 'Pewaukee, WI 53072']}",Artisan 179,+12626910200,$$,4.0,159,['restaurant_reservation'],https://www.yelp.com/biz/artisan-179-pewaukee-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mama-ds-coffee-wales,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 43.0049982, 'longitude': -88.3766968}",(262) 968-3500,7475.716791697395,pSea6WGoxxJCR9wvhwwtBA,https://s3-media1.fl.yelpcdn.com/bphoto/Ai9tcnP2SX2hjmh5RhsEWg/o.jpg,False,"{'address1': '104 W Main St', 'address2': '', 'address3': '', 'city': 'Wales', 'zip_code': '53183', 'country': 'US', 'state': 'WI', 'display_address': ['104 W Main St', 'Wales, WI 53183']}",Mama D's Coffee,+12629683500,$,5.0,52,[],https://www.yelp.com/biz/mama-ds-coffee-wales?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-steaming-cup-waukesha,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 43.0114022, 'longitude': -88.2327168}",(262) 522-3605,5340.272280395978,nHOl0imy1RsqjnFT3THhnQ,https://s3-media3.fl.yelpcdn.com/bphoto/ccLlZHTVCK-1BSjC45J9WQ/o.jpg,False,"{'address1': '340 W Main St', 'address2': '', 'address3': None, 'city': 'Waukesha', 'zip_code': '53186', 'country': 'US', 'state': 'WI', 'display_address': ['340 W Main St', 'Waukesha, WI 53186']}",The Steaming Cup,+12625223605,$,4.0,99,[],https://www.yelp.com/biz/the-steaming-cup-waukesha?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
pats-rib-place-waukesha,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 42.9882375, 'longitude': -88.2248294}",(262) 544-4099,7326.0748840837305,RV6qBqXGzdgEJ9Apo3p_YQ,https://s3-media3.fl.yelpcdn.com/bphoto/0xeRblqveZDR2tM6NuYhxQ/o.jpg,False,"{'address1': '151 E Sunset Dr', 'address2': None, 'address3': None, 'city': 'Waukesha', 'zip_code': '53189', 'country': 'US', 'state': 'WI', 'display_address': ['151 E Sunset Dr', 'Waukesha, WI 53189']}",Pat's Rib Place,+12625444099,$$,4.5,102,[],https://www.yelp.com/biz/pats-rib-place-waukesha?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
