alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
sieberts-pub-salem,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 42.55407, 'longitude': -88.11004}",(262) 843-4621,4256.706067756081,Zg5gJfuLgSAtizFLSgEOWA,https://s3-media2.fl.yelpcdn.com/bphoto/wYbng6vov3Wq7pPNWfSwAg/o.jpg,False,"{'address1': '8403 Antioch Rd', 'address2': '', 'address3': '', 'city': 'Salem', 'zip_code': '53168', 'country': 'US', 'state': 'WI', 'display_address': ['8403 Antioch Rd', 'Salem, WI 53168']}",Sieberts Pub,+12628434621,$$,4.5,117,[],https://www.yelp.com/biz/sieberts-pub-salem?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
fire-pitt-trevor,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 42.500647, 'longitude': -88.09459}",(262) 862-9886,3496.120698204845,PCRBONWB-hk4qJfgXmNrhw,https://s3-media2.fl.yelpcdn.com/bphoto/kcxMIJ-5P1nS2766fez5Vg/o.jpg,False,"{'address1': '12417 Antioch Rd', 'address2': '', 'address3': '', 'city': 'Trevor', 'zip_code': '53179', 'country': 'US', 'state': 'WI', 'display_address': ['12417 Antioch Rd', 'Trevor, WI 53179']}",Fire Pitt,+12628629886,$$,4.5,98,[],https://www.yelp.com/biz/fire-pitt-trevor?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
colony-house-restaurant-trevor,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 42.50624, 'longitude': -88.12057}",(262) 862-2076,1545.9937795323021,ccBzaRBZxYDCfg0ytkAMiw,https://s3-media3.fl.yelpcdn.com/bphoto/Ne9nng3iwJZ7WLtDV4KXFA/o.jpg,False,"{'address1': '25811 119th St', 'address2': '', 'address3': '', 'city': 'Trevor', 'zip_code': '53179', 'country': 'US', 'state': 'WI', 'display_address': ['25811 119th St', 'Trevor, WI 53179']}",Colony House Restaurant,+12628622076,$$,3.5,97,[],https://www.yelp.com/biz/colony-house-restaurant-trevor?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
davids-bistro-antioch,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 42.4787265655771, 'longitude': -88.0961351402867}",(847) 603-1196,5215.7030264838695,BU4AUkw3jgLIS3ShBEzP4Q,https://s3-media2.fl.yelpcdn.com/bphoto/iHeUHz0UA0Yar3uMCAHtsw/o.jpg,False,"{'address1': '883 Main St', 'address2': None, 'address3': None, 'city': 'Antioch', 'zip_code': '60002', 'country': 'US', 'state': 'IL', 'display_address': ['883 Main St', 'Antioch, IL 60002']}",David's Bistro,+18476031196,$$,4.0,101,[],https://www.yelp.com/biz/davids-bistro-antioch?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-vegas-cafe-antioch,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 42.47781, 'longitude': -88.09644}",(847) 395-6363,5289.471945036035,cfVp_XbXs5ZGa-IHVyz9Yg,https://s3-media2.fl.yelpcdn.com/bphoto/KFNgPxAep7FJidrzpZpUzw/o.jpg,False,"{'address1': '914 Main St', 'address2': '', 'address3': '', 'city': 'Antioch', 'zip_code': '60002', 'country': 'US', 'state': 'IL', 'display_address': ['914 Main St', 'Antioch, IL 60002']}",The Vegas Cafe,+18473956363,$,4.0,119,[],https://www.yelp.com/biz/the-vegas-cafe-antioch?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
asian-harbor-antioch,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 42.4790456, 'longitude': -88.1022494}",(847) 838-5866,5033.929823900553,mLliSdVLV-gWSsKgd3ydEQ,https://s3-media4.fl.yelpcdn.com/bphoto/P49DsNbODiAM0l_oj9fs9Q/o.jpg,False,"{'address1': '508 Orchard St', 'address2': '', 'address3': '', 'city': 'Antioch', 'zip_code': '60002', 'country': 'US', 'state': 'IL', 'display_address': ['508 Orchard St', 'Antioch, IL 60002']}",Asian Harbor,+18478385866,$$,4.0,84,[],https://www.yelp.com/biz/asian-harbor-antioch?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
wilmot-stage-stop-wilmot-3,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 42.51285, 'longitude': -88.18144}",(262) 862-6212,4303.1482612043355,woWcgdVQcic0IWb0s7luEw,https://s3-media3.fl.yelpcdn.com/bphoto/geAonm9tdCKs5gQYnyYoVw/o.jpg,False,"{'address1': '30646 113th St', 'address2': '', 'address3': '', 'city': 'Wilmot', 'zip_code': '53192', 'country': 'US', 'state': 'WI', 'display_address': ['30646 113th St', 'Wilmot, WI 53192']}",Wilmot Stage Stop,+12628626212,$$$,3.5,129,[],https://www.yelp.com/biz/wilmot-stage-stop-wilmot-3?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
antioch-pizza-shop-antioch,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 42.47515, 'longitude': -88.10514}",(847) 395-6777,5232.141005010376,mRhFStpMbbsyU_ZQizHuLA,https://s3-media1.fl.yelpcdn.com/bphoto/7zujDbgsVWDSWggGbpoVZw/o.jpg,False,"{'address1': '994 Il Route 59', 'address2': '', 'address3': '', 'city': 'Antioch', 'zip_code': '60002', 'country': 'US', 'state': 'IL', 'display_address': ['994 Il Route 59', 'Antioch, IL 60002']}",Antioch Pizza Shop,+18473956777,$$,4.0,76,[],https://www.yelp.com/biz/antioch-pizza-shop-antioch?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-latte-cafe-and-bakery-antioch,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 42.470311, 'longitude': -88.092848}",(224) 788-5076,6159.115202472017,pmIFs6uRb8AyplJ6lLmkWg,https://s3-media3.fl.yelpcdn.com/bphoto/XnJIMO_6xvrGAhvdY_vLRw/o.jpg,False,"{'address1': '1185 Main St', 'address2': '', 'address3': '', 'city': 'Antioch', 'zip_code': '60002', 'country': 'US', 'state': 'IL', 'display_address': ['1185 Main St', 'Antioch, IL 60002']}",The Latte Cafe & Bakery,+12247885076,$$,5.0,33,[],https://www.yelp.com/biz/the-latte-cafe-and-bakery-antioch?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mannys-snack-shack-twin-lakes,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 42.5295600891113, 'longitude': -88.2474365234375}",(262) 877-4442,9734.472871822147,sipl7w83RhBG8kyo3V2alA,https://s3-media2.fl.yelpcdn.com/bphoto/KSwUJ1Op14_RDkVCrACuKA/o.jpg,False,"{'address1': '404 S Lake Ave', 'address2': '', 'address3': '', 'city': 'Twin Lakes', 'zip_code': '53181', 'country': 'US', 'state': 'WI', 'display_address': ['404 S Lake Ave', 'Twin Lakes, WI 53181']}",Manny's Snack Shack,+12628774442,$,4.5,123,[],https://www.yelp.com/biz/mannys-snack-shack-twin-lakes?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
twin-oaks-country-inn-restaurant-wilmot,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 42.51117, 'longitude': -88.18446}",(262) 862-9377,4587.38137072106,liWP-2Td67iu48WtXxutjQ,https://s3-media4.fl.yelpcdn.com/bphoto/ptxQl01EqcH64XPno1HkIA/o.jpg,False,"{'address1': '30807 114th St', 'address2': '', 'address3': '', 'city': 'Wilmot', 'zip_code': '53192', 'country': 'US', 'state': 'WI', 'display_address': ['30807 114th St', 'Wilmot, WI 53192']}",Twin Oaks Country Inn Restaurant,+12628629377,$$$,4.0,57,[],https://www.yelp.com/biz/twin-oaks-country-inn-restaurant-wilmot?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
binantis-taste-of-italy-silver-lake,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 42.5494232177734, 'longitude': -88.1683883666992}",(262) 889-8387,4674.863214763113,b9XyQMZ6KMgrHlETsNLz6Q,https://s3-media3.fl.yelpcdn.com/bphoto/ekEU67RJbrL2t6YkhRQcFA/o.jpg,False,"{'address1': '101 S 2nd St', 'address2': '', 'address3': '', 'city': 'Silver Lake', 'zip_code': '53170', 'country': 'US', 'state': 'WI', 'display_address': ['101 S 2nd St', 'Silver Lake, WI 53170']}",Binanti's Taste of Italy,+12628898387,$$,4.0,46,[],https://www.yelp.com/biz/binantis-taste-of-italy-silver-lake?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
anastasias-restaurant-and-sports-lounge-antioch-3,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 42.4767333477264, 'longitude': -88.1028731190491}",(847) 395-3939,5147.396820146861,EgaCsvAA6KOAhjObEerlvA,https://s3-media2.fl.yelpcdn.com/bphoto/Kp64RIwp3tkuEtHaBliMPw/o.jpg,False,"{'address1': '950 Hillside Ave', 'address2': '', 'address3': '', 'city': 'Antioch', 'zip_code': '60002', 'country': 'US', 'state': 'IL', 'display_address': ['950 Hillside Ave', 'Antioch, IL 60002']}",Anastasia's Restaurant & Sports Lounge,+18473953939,$$,3.0,153,"['pickup', 'delivery']",https://www.yelp.com/biz/anastasias-restaurant-and-sports-lounge-antioch-3?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
kcs-cabin-spring-grove-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 42.480516, 'longitude': -88.203748}",(815) 675-2205,7411.781764524853,xBty3kdCWMCZhJaVIaf_HA,https://s3-media2.fl.yelpcdn.com/bphoto/REAEWL6mHKo0y-DO-531sw/o.jpg,False,"{'address1': '309 Il Rt 173', 'address2': '', 'address3': '', 'city': 'Spring Grove', 'zip_code': '60081', 'country': 'US', 'state': 'IL', 'display_address': ['309 Il Rt 173', 'Spring Grove, IL 60081']}",KC's Cabin,+18156752205,$,4.0,65,[],https://www.yelp.com/biz/kcs-cabin-spring-grove-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
