alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
js-bbq-ripon,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 43.84313, 'longitude': -88.83844}",(920) 748-2232,11335.850816859167,S_hlfiPH_rQMh62eM1YxMw,https://s3-media3.fl.yelpcdn.com/bphoto/ALYWm7dqOhbu4yVAU0qRvQ/o.jpg,False,"{'address1': '333 Watson St', 'address2': '', 'address3': '', 'city': 'Ripon', 'zip_code': '54971', 'country': 'US', 'state': 'WI', 'display_address': ['333 Watson St', 'Ripon, WI 54971']}",J's BBQ,+19207482232,$$,4.5,61,[],https://www.yelp.com/biz/js-bbq-ripon?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
knuth-brewing-company-ripon-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 43.8446799, 'longitude': -88.83863}",(920) 748-5188,11497.253393603909,IBFdUTf9EL9R4JEhsIw5dw,https://s3-media2.fl.yelpcdn.com/bphoto/J7i_wq1_MN3c2hP1m6F4JA/o.jpg,False,"{'address1': '221 Watson St', 'address2': '', 'address3': '', 'city': 'Ripon', 'zip_code': '54971', 'country': 'US', 'state': 'WI', 'display_address': ['221 Watson St', 'Ripon, WI 54971']}",Knuth Brewing Company,+19207485188,$$,4.5,54,[],https://www.yelp.com/biz/knuth-brewing-company-ripon-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mr-and-mrs-ps-eatery-ripon,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.8542823791504, 'longitude': -88.8601913452148}",(920) 896-0696,12446.187094108369,CVQHCE1gUISA44FRiqe65g,https://s3-media2.fl.yelpcdn.com/bphoto/p_SYhyGaRNpTAt2t6FbhkQ/o.jpg,False,"{'address1': '1100 W Fond Du Lac St', 'address2': '', 'address3': '', 'city': 'Ripon', 'zip_code': '54971', 'country': 'US', 'state': 'WI', 'display_address': ['1100 W Fond Du Lac St', 'Ripon, WI 54971']}",Mr & Mrs P's Eatery,+19208960696,$$,4.5,62,[],https://www.yelp.com/biz/mr-and-mrs-ps-eatery-ripon?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
roadhouse-pizza-ripon,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 43.84612, 'longitude': -88.83931}",(920) 748-3322,11664.373569685507,UuUnOM9DJ1eNVcNPyYe1WA,https://s3-media1.fl.yelpcdn.com/bphoto/S-IBzkYCd3P9MKF_Us2r9Q/o.jpg,False,"{'address1': '102 Watson St', 'address2': '', 'address3': '', 'city': 'Ripon', 'zip_code': '54971', 'country': 'US', 'state': 'WI', 'display_address': ['102 Watson St', 'Ripon, WI 54971']}",Roadhouse Pizza,+19207483322,$$,4.5,33,[],https://www.yelp.com/biz/roadhouse-pizza-ripon?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
sassafras-green-lake-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 43.845498026172, 'longitude': -88.9600422123032}",(920) 807-0727,13968.369198643986,GWd5o-OXwkzqYZUa38_YmQ,https://s3-media3.fl.yelpcdn.com/bphoto/sfdWB2fT8Fsjm_rBGzOBtA/o.jpg,False,"{'address1': '524 Mill St', 'address2': None, 'address3': '', 'city': 'Green Lake', 'zip_code': '54941', 'country': 'US', 'state': 'WI', 'display_address': ['524 Mill St', 'Green Lake, WI 54941']}",Sassafras,+19208070727,$,5.0,22,[],https://www.yelp.com/biz/sassafras-green-lake-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mugs-coffee-house-ripon,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 43.84384, 'longitude': -88.83862}",(920) 896-0550,11413.39966680279,N1IJ823Xrs7JpipjgUZODw,https://s3-media2.fl.yelpcdn.com/bphoto/SVhMrGfSZbL6HxGtMrP6Lg/o.jpg,False,"{'address1': '307 Watson St', 'address2': '', 'address3': '', 'city': 'Ripon', 'zip_code': '54971', 'country': 'US', 'state': 'WI', 'display_address': ['307 Watson St', 'Ripon, WI 54971']}",Mugs Coffee House,+19208960550,$,4.5,20,[],https://www.yelp.com/biz/mugs-coffee-house-ripon?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
el-fogón-ripon-3,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 43.8507657, 'longitude': -88.8515817}",(920) 896-0283,12065.482260629818,J8ibbI0T4TJJ8dUprJRnDg,https://s3-media4.fl.yelpcdn.com/bphoto/hNuR33iraFEQPK4ARtudJg/o.jpg,False,"{'address1': '800 W Fond Du Lac St', 'address2': '', 'address3': None, 'city': 'Ripon', 'zip_code': '54971', 'country': 'US', 'state': 'WI', 'display_address': ['800 W Fond Du Lac St', 'Ripon, WI 54971']}",El Fogón,+19208960283,$$,4.5,21,[],https://www.yelp.com/biz/el-fog%C3%B3n-ripon-3?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
goose-blind-grill-and-bar-green-lake,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 43.844839, 'longitude': -88.961504}",(920) 294-6363,13976.067388165155,tk6lxDgkWBcmIQd5M-mgog,https://s3-media2.fl.yelpcdn.com/bphoto/iQqGyckSj_cKzDJlGgIO_g/o.jpg,False,"{'address1': '512 Gold St', 'address2': None, 'address3': '', 'city': 'Green Lake', 'zip_code': '54941', 'country': 'US', 'state': 'WI', 'display_address': ['512 Gold St', 'Green Lake, WI 54941']}",Goose Blind Grill & Bar,+19202946363,$$,3.5,51,"['pickup', 'delivery']",https://www.yelp.com/biz/goose-blind-grill-and-bar-green-lake?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
little-corporal-restaurant-green-lake,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 43.845, 'longitude': -88.96032}",(920) 294-6772,13935.674836774424,YCksRWeilxdvT9ZjpZ-_FQ,https://s3-media3.fl.yelpcdn.com/bphoto/sNaaA1LtDDSXnmZ-LkPJPw/o.jpg,False,"{'address1': '499 Hill St', 'address2': '', 'address3': '', 'city': 'Green Lake', 'zip_code': '54941', 'country': 'US', 'state': 'WI', 'display_address': ['499 Hill St', 'Green Lake, WI 54941']}",Little Corporal Restaurant,+19202946772,$,4.0,35,[],https://www.yelp.com/biz/little-corporal-restaurant-green-lake?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
chops-fine-cuisine-green-lake,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 43.8452931741645, 'longitude': -88.9596418663859}",(920) 807-0050,13931.320343613377,8Lpwl8kp2iiBawA5hhb6dA,https://s3-media1.fl.yelpcdn.com/bphoto/qTnpY8rmwiiFSMPc0sBUhA/o.jpg,False,"{'address1': '506 Hill St', 'address2': '', 'address3': None, 'city': 'Green Lake', 'zip_code': '54941', 'country': 'US', 'state': 'WI', 'display_address': ['506 Hill St', 'Green Lake, WI 54941']}",Chops Fine Cuisine,+19208070050,$$$,4.0,30,[],https://www.yelp.com/biz/chops-fine-cuisine-green-lake?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
