zipcode,name,price,rating,review_count,categories
53405,Blue Bear,$$,4.0,175,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Javier's Cuisine,$$,4.5,59,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]"
53405,O&H Danish Bakery,$,4.5,49,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]"
53405,Wells Brothers Restaurant,$$,4.5,191,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
53405,Buckets Pub,$,4.0,45,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'burgers', 'title': 'Burgers'}]"
53405,Wilson's Coffee & Tea,$,4.5,41,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Bendtsen's Bakery,$,4.5,36,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'donuts', 'title': 'Donuts'}]"
53405,Kabab And Grill,$$,5.0,38,"[{'alias': 'pakistani', 'title': 'Pakistani'}]"
53405,Olde Madrid,$$,4.5,129,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'basque', 'title': 'Basque'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]"
53405,Gyros Express,$,4.5,60,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Asiana Asian Cuisine Restaurant,$$,4.5,74,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
53405,Jose's Blue Sombrero Restaurant & Cantina,$$,4.0,127,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Kewpee Lunch,$,4.0,92,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,La Tapatia,$,4.5,47,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Meli Cafe Pancake House & Restaurant,$$,4.0,115,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'greek', 'title': 'Greek'}]"
53405,Taqueria Nuevo Vallarta,$,4.0,18,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Dynasty Family Restaurant,$,4.0,20,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'mexican', 'title': 'Mexican'}]"
53405,O&H Danish Bakery,$,4.0,41,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}]"
53405,Boss Burgers-N-Beef,$,4.5,46,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Georgie Porgie's Treefort Restaurant,$,4.0,55,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Tino's Carry Out,$,4.5,7,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
53405,Yuni's Avenue Cafe,$,4.0,30,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Toad Hall,$$,4.0,46,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'british', 'title': 'British'}]"
53405,Yardarm Bar & Grill,$$,3.5,90,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]"
53405,Chick-fil-A,$,4.5,17,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]"
53405,The Grind Cafe,$,4.5,25,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Butcher & Barrel Gastropub,$$$,4.5,37,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'seafood', 'title': 'Seafood'}]"
53405,Reefpoint Brew House,$$,3.0,133,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'bbq', 'title': 'Barbeque'}]"
53405,SC Johnson Wax Headquarters,,4.5,15,"[{'alias': 'localflavor', 'title': 'Local Flavor'}]"
53405,Nino's 911 Tacos,$,4.5,31,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]"
53405,Larsen Bakery,$,3.5,23,"[{'alias': 'bakeries', 'title': 'Bakeries'}]"
53405,Mi Tierra,$$,4.0,22,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,The Farm Family Restaurant,$,3.0,28,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Sticky Rice,$$,4.5,26,"[{'alias': 'thai', 'title': 'Thai'}]"
53405,Robert's Roost,$$,3.5,70,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Salute,$$,3.5,70,"[{'alias': 'italian', 'title': 'Italian'}]"
53405,Taqueria Arandas Restaurant,$$,4.5,20,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Asian Buffet,$$,3.0,33,"[{'alias': 'buffets', 'title': 'Buffets'}]"
53405,Lee's Deli,$,4.5,13,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Divino Gelato Cafe,$,4.0,27,"[{'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'cafes', 'title': 'Cafes'}]"
53405,Red Onion Cafe,$,4.5,24,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Corner House Supper Club,$$,3.0,57,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
53405,Krung Thai Restaurant,$$,4.0,34,"[{'alias': 'thai', 'title': 'Thai'}]"
53405,Mario's Italian Sports Bar,$$,3.5,10,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]"
53405,Ivanhoe Pub & Eatery,$$,3.5,65,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Tommy's Chicago Dogs Subs & Soups,$,4.0,9,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Blaze Fast-Fire'd Pizza,$,3.5,30,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'pizza', 'title': 'Pizza'}]"
53405,China House II,$,4.0,9,"[{'alias': 'chinese', 'title': 'Chinese'}]"
53405,Dewey's Restaurant and Sports Bar,$,3.5,39,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,QDOBA Mexican Eats,$,4.5,11,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
53405,Mike & Angelo's,$$,3.5,43,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
53405,Marco's Pizza,$,4.0,6,"[{'alias': 'pizza', 'title': 'Pizza'}]"
53405,Vero International Cuisine,$$,3.5,36,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Pepi's Pub and Grill,$,4.0,19,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Lehmann's Bakery,$$,4.0,8,"[{'alias': 'bakeries', 'title': 'Bakeries'}]"
53405,Paul's Pub,$,4.5,3,"[{'alias': 'pubs', 'title': 'Pubs'}]"
53405,Red Lobster,$$,3.0,34,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,DeRango's Pizza Delivery,$$,4.0,25,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
53405,Beachside Oasis,,4.5,13,"[{'alias': 'beaches', 'title': 'Beaches'}]"
53405,Culver's,$,3.5,18,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53405,Racine Art Museum,,4.5,11,"[{'alias': 'artmuseums', 'title': 'Art Museums'}]"
53405,McAuliffe's Pub,$$$$,4.0,9,"[{'alias': 'pubs', 'title': 'Pubs'}]"
53405,Bernie's Hometown Pizzeria,$,3.5,12,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]"
53405,Infusino's Pizzeria,$$,3.0,16,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'italian', 'title': 'Italian'}]"
53405,A Little R&R Cafe,$,4.5,11,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
53405,Golden Chicken,$,4.5,5,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'seafood', 'title': 'Seafood'}]"
53405,DeRango The Pizza King,$$,3.0,21,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
53405,The Nash,$$,3.5,26,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]"
53405,Olive Garden Italian Restaurant,$$,3.0,36,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'salad', 'title': 'Salad'}]"
53405,Captain John's Sammys & Such,$,5.0,7,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Tony Chen's,$,3.0,17,"[{'alias': 'chinese', 'title': 'Chinese'}]"
53405,Boosters Buoy,$$,3.5,28,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
53405,Mi Jacalito Restaurant,,4.5,8,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Taqueria Gran Morelos,$,4.0,10,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Summit Restaurant,$$$,2.5,62,"[{'alias': 'steak', 'title': 'Steakhouses'}]"
53405,North Beach Park,,4.0,11,"[{'alias': 'beaches', 'title': 'Beaches'}]"
53405,Texas Roadhouse,$$,3.0,33,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Ferraro's Pizza,$$,3.5,13,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'italian', 'title': 'Italian'}]"
53405,Reflections Family Restaurant,$,3.0,9,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,The Dish,$,3.5,19,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]"
53405,Mrs. Betty's Kitchen,$,4.0,10,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
53405,Starbucks,$,3.5,15,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Scores Sports Bar & Grill,$,3.0,32,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Shogun,$$,3.0,24,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
53405,Third Coast Woodfire Pizza and Pub,$$,2.5,65,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
53405,Panera Bread,$$,3.0,21,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]"
53405,Teezers,,3.5,4,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,Coasters,$,4.0,10,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,Denny's,$,3.0,26,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
53405,Buffalo Wild Wings,$$,2.5,33,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
53405,20 and Oakes Bar & Grill,$$,2.5,36,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
53405,Starbucks,$$,3.5,11,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Evelyn's Club Main,$,4.5,6,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,George's Tavern,$$,3.5,12,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
53405,Main Moon 2,$$,2.5,18,"[{'alias': 'chinese', 'title': 'Chinese'}]"
53405,Rocky Rococo,$,3.5,15,"[{'alias': 'pizza', 'title': 'Pizza'}]"
53405,Uncorkt,$$,3.5,13,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]"
53405,Lehmann's Bakery,$$,4.5,5,"[{'alias': 'bakeries', 'title': 'Bakeries'}]"
53405,IHOP,$,2.5,19,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]"
53405,Buona Vita Pizzeria Restaurant,$$,3.0,8,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]"
53405,Los Mariachis Mexican Restaurant,$$,2.5,24,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Dunkin' Donuts,$,4.5,6,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Firehouse Subs,$$,3.5,13,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Wingstop,$$,3.0,12,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
53405,Uptown Pub & Grill,$$,3.5,6,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pubs', 'title': 'Pubs'}]"
53405,AA Supreme Buffet,,3.0,9,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]"
53405,Potbelly Sandwich Shop,$,4.0,5,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Montoya's Mexican American Carryout,,5.0,3,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'mexican', 'title': 'Mexican'}]"
53405,Applebee's Grill + Bar,$$,1.5,39,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]"
53405,Ronghua Chinese Restaurant,$,3.0,11,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
53405,The Boiler Room,$,4.0,4,"[{'alias': 'pubs', 'title': 'Pubs'}]"
53405,Whey Chai Chinese Restaurant,$,2.5,25,"[{'alias': 'chinese', 'title': 'Chinese'}]"
53405,Chipotle Mexican Grill,$,2.5,18,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
53405,Roberta,,5.0,3,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
53405,Texas Road House,$$,2.5,14,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53405,Papa Murphy's,,3.5,3,"[{'alias': 'pizza', 'title': 'Pizza'}]"
53405,Burger King,,3.5,4,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
53405,Maxine's,$,4.5,3,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,DeRango The Pizza King & Premium Chocolates,,4.0,5,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Wustum Chas A Museum of Fine Arts,,4.5,3,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'artschools', 'title': 'Art Schools'}]"
53405,Noodles & Company,$$,2.5,13,"[{'alias': 'noodles', 'title': 'Noodles'}]"
53405,Dairy Queen,,3.0,2,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53405,McDonald's,$,3.5,8,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Main Street Bakery,,5.0,2,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]"
53405,Angry Brothers Pub & Grill,$,3.5,7,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'karaoke', 'title': 'Karaoke'}]"
53405,Wendy's,$$,3.5,3,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
53405,Russ's Tap,,3.5,2,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,Chez Bob's Cafe,$,4.5,2,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]"
53405,Super Steak and Potato,,2.5,5,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
53405,McDonald's,$,1.0,9,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53405,Popeyes Louisiana Kitchen,$,1.5,20,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
53405,Racine Heritage Museum,,4.0,4,"[{'alias': 'museums', 'title': 'Museums'}]"
53405,S C Johnson,,3.5,4,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]"
53405,Sugar Shack Sweet Shoppe,$$,4.0,4,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'candy', 'title': 'Candy Stores'}, {'alias': 'popcorn', 'title': 'Popcorn Shops'}]"
53405,Main Hub,$$,4.5,2,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
53405,Toppers Pizza,,3.0,7,"[{'alias': 'pizza', 'title': 'Pizza'}]"
53405,Taco Bell,$,2.5,7,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
53405,Domino's Pizza,$,2.5,7,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53405,Dickie's Bar,,3.5,2,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'poolhalls', 'title': 'Pool Halls'}]"
53405,Pizza Hut,$,1.5,12,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
53405,Chamtap,,2.5,2,"[{'alias': 'pubs', 'title': 'Pubs'}]"
53405,Hammes Tavern,$,3.0,1,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,Mexico Lindo Restaurant,$,3.0,5,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53405,Tino's Carry Out,,5.0,1,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}]"
53405,Michigan's Pub,$,3.5,4,"[{'alias': 'pubs', 'title': 'Pubs'}]"
53405,McAuliffe's On the Square,,4.0,2,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,The Brickhouse,,4.0,2,"[{'alias': 'bars', 'title': 'Bars'}]"
53405,tony's bar and grill,$$,5.0,1,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]"
53405,Casablanca De Mexico,$$,2.0,14,"[{'alias': 'mexican', 'title': 'Mexican'}]"
