alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
grill-junkies-delafield,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 43.04923, 'longitude': -88.37672}",(262) 646-2725,854.6823600546996,pWnRyC7TQgrLORLcFwksmA,https://s3-media4.fl.yelpcdn.com/bphoto/9mRA2hDGPoLwHh6eluMbqA/o.jpg,False,"{'address1': '2566 Sun Valley Dr', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['2566 Sun Valley Dr', 'Delafield, WI 53018']}",Grill Junkies,+12626462725,$$,4.5,96,[],https://www.yelp.com/biz/grill-junkies-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
fishbones-cajun-and-creole-restaurant-delafield,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 43.05856, 'longitude': -88.38647}",(262) 646-4696,867.5094770512231,6fOpn4ZZn5JLqHd6t13BOA,https://s3-media4.fl.yelpcdn.com/bphoto/dV33xa9NnirAPRQXiTFeDg/o.jpg,False,"{'address1': '1704 Milwaukee St', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['1704 Milwaukee St', 'Delafield, WI 53018']}",Fishbone's Cajun & Creole Restaurant,+12626464696,$$,4.0,107,[],https://www.yelp.com/biz/fishbones-cajun-and-creole-restaurant-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
belfre-kitchen-delafield-4,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 43.06022, 'longitude': -88.40383}",(262) 303-5066,1716.1516067317089,2T5pD0byPc_EfskjYI_cCg,https://s3-media4.fl.yelpcdn.com/bphoto/DV7Mlhmcj0FYobXqzuhs1Q/o.jpg,False,"{'address1': '606 Genesee St', 'address2': '', 'address3': None, 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['606 Genesee St', 'Delafield, WI 53018']}",Belfre Kitchen,+12623035066,$$,4.0,78,[],https://www.yelp.com/biz/belfre-kitchen-delafield-4?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
lumber-inn-delafield,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 43.06023, 'longitude': -88.40339}",(262) 646-8988,1698.322535181993,n77W9EjbQ5BBt4oG_VblGA,https://s3-media4.fl.yelpcdn.com/bphoto/oaqwfze6FPcQnNMZKtwsLg/o.jpg,False,"{'address1': '617 Wells St', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['617 Wells St', 'Delafield, WI 53018']}",Lumber Inn,+12626468988,$,4.0,118,[],https://www.yelp.com/biz/lumber-inn-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mama-ds-coffee-wales,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 43.0049982, 'longitude': -88.3766968}",(262) 968-3500,5160.1305139467295,pSea6WGoxxJCR9wvhwwtBA,https://s3-media1.fl.yelpcdn.com/bphoto/Ai9tcnP2SX2hjmh5RhsEWg/o.jpg,False,"{'address1': '104 W Main St', 'address2': '', 'address3': '', 'city': 'Wales', 'zip_code': '53183', 'country': 'US', 'state': 'WI', 'display_address': ['104 W Main St', 'Wales, WI 53183']}",Mama D's Coffee,+12629683500,$,5.0,51,[],https://www.yelp.com/biz/mama-ds-coffee-wales?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
i-d-delafield-5,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 43.05837, 'longitude': -88.40567}",(262) 646-1620,1784.7123506996181,jcvi0_WYNxUQ3eGq3_zr1g,https://s3-media4.fl.yelpcdn.com/bphoto/ZnhG-NLISP_4smWcZ3oSYA/o.jpg,False,"{'address1': '415 Genesee St', 'address2': 'Ste 1', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['415 Genesee St', 'Ste 1', 'Delafield, WI 53018']}",I.D.,+12626461620,$$$,4.0,66,[],https://www.yelp.com/biz/i-d-delafield-5?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
lake-country-cigars-delafield,"[{'alias': 'tobaccoshops', 'title': 'Tobacco Shops'}, {'alias': 'cigarbars', 'title': 'Cigar Bars'}]","{'latitude': 43.04923, 'longitude': -88.37672}",(262) 646-7530,854.6823600546996,PagT_Bk8-u-myzMFgLagvA,https://s3-media4.fl.yelpcdn.com/bphoto/LL06iU5FlRWN9x24JvatIw/o.jpg,False,"{'address1': '2566 Sun Valley Dr', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['2566 Sun Valley Dr', 'Delafield, WI 53018']}",Lake Country Cigars,+12626467530,$$,5.0,15,[],https://www.yelp.com/biz/lake-country-cigars-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
leducs-frozen-custard-wales-3,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 43.012869, 'longitude': -88.382606}",(262) 968-2894,4231.168912032783,k1-zdIPBlxViepsisKU7PA,https://s3-media4.fl.yelpcdn.com/bphoto/HGXmwj_4w3zGEhGumRb_UA/o.jpg,False,"{'address1': '240 W Summit Ave', 'address2': '', 'address3': '', 'city': 'Wales', 'zip_code': '53183', 'country': 'US', 'state': 'WI', 'display_address': ['240 W Summit Ave', 'Wales, WI 53183']}",Leduc's Frozen Custard,+12629682894,$,4.5,48,[],https://www.yelp.com/biz/leducs-frozen-custard-wales-3?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
delafield-brewhaus-delafield,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breweries', 'title': 'Breweries'}]","{'latitude': 43.0482103, 'longitude': -88.3551855}",(262) 646-7821,2606.538429445139,eYbz-ULiBPku8g_PULfmPw,https://s3-media3.fl.yelpcdn.com/bphoto/Ex1qrdpqaWRaslWvaqhkIA/o.jpg,False,"{'address1': '3832 Hillside Dr', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['3832 Hillside Dr', 'Delafield, WI 53018']}",Delafield Brewhaus,+12626467821,$$,3.5,160,[],https://www.yelp.com/biz/delafield-brewhaus-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
kurts-steak-house-delafield,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 43.05909, 'longitude': -88.41454}",(262) 646-3333,2415.428176220867,Ed9HajwsRbKAVdoV4n_ObA,https://s3-media1.fl.yelpcdn.com/bphoto/DKbs7BMHNwHMIvVuYPLO_g/o.jpg,False,"{'address1': '22 W Main St', 'address2': '', 'address3': '', 'city': 'Delafield', 'zip_code': '53018', 'country': 'US', 'state': 'WI', 'display_address': ['22 W Main St', 'Delafield, WI 53018']}",Kurt's Steak House,+12626463333,$$$,3.5,79,[],https://www.yelp.com/biz/kurts-steak-house-delafield?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
