alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
perc-place-hartford-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 43.31845, 'longitude': -88.37908}",(262) 670-6950,972.5027535295429,iePUts8UQCS5YWpNTtduNw,https://s3-media4.fl.yelpcdn.com/bphoto/5WxXZ_Vk38XQYK0k9Lvsrg/o.jpg,False,"{'address1': '39 43 North Main St', 'address2': '', 'address3': '', 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['39 43 North Main St', 'Hartford, WI 53027']}",Perc Place,+12626706950,$$,4.0,72,[],https://www.yelp.com/biz/perc-place-hartford-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
scoop-deville-hartford,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 43.31884, 'longitude': -88.37924}",(262) 673-1957,987.4658362926564,7Op0QFEMpzHC3-5V3TYb9Q,https://s3-media1.fl.yelpcdn.com/bphoto/3nnlankGcNY2OKLRF91MuQ/o.jpg,False,"{'address1': '65 N Main St', 'address2': '', 'address3': '', 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['65 N Main St', 'Hartford, WI 53027']}",Scoop Deville,+12626731957,$$,5.0,19,[],https://www.yelp.com/biz/scoop-deville-hartford?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mineshaft-restaurant-and-bar-hartford,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 43.3180389404297, 'longitude': -88.3785858154297}",(262) 673-5416,925.4460662797327,i_LmppMRxLd-FtR2fOQOqA,https://s3-media4.fl.yelpcdn.com/bphoto/_DIgJcVD1KbY7KERI5I5yg/o.jpg,False,"{'address1': '22 N Main St', 'address2': '', 'address3': '', 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['22 N Main St', 'Hartford, WI 53027']}",Mineshaft Restaurant & Bar,+12626735416,$$,3.0,166,[],https://www.yelp.com/biz/mineshaft-restaurant-and-bar-hartford?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
pueblas-kitchen-hartford,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 43.31919, 'longitude': -88.37822}",(262) 397-8503,905.5218376509509,8_MQbhPmt6W9NBdpPt49EQ,https://s3-media2.fl.yelpcdn.com/bphoto/7VQH8fYJZEQSWfXO97hZkA/o.jpg,False,"{'address1': '28 E Jackson St', 'address2': None, 'address3': None, 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['28 E Jackson St', 'Hartford, WI 53027']}",Puebla's Kitchen,+12623978503,$$,4.5,25,[],https://www.yelp.com/biz/pueblas-kitchen-hartford?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-coffee-trader-hartford-2,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 43.31805, 'longitude': -88.3448499}",(262) 670-9901,1768.6482938107658,A0P7WJCsZiRYkJ_x0aCkmQ,https://s3-media4.fl.yelpcdn.com/bphoto/vUNh8RheJnlgR-gBG3FoMw/o.jpg,False,"{'address1': '30 S Pike Lake Dr', 'address2': None, 'address3': None, 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['30 S Pike Lake Dr', 'Hartford, WI 53027']}",The Coffee Trader,+12626709901,$,5.0,13,[],https://www.yelp.com/biz/the-coffee-trader-hartford-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
ichiban-japanese-sushi-and-steak-house-hartford-5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'latitude': 43.31705, 'longitude': -88.34943}",(262) 457-2288,1432.586549825501,DuacQG0H89uqdJ2ZDniimg,https://s3-media4.fl.yelpcdn.com/bphoto/TWtOuHod-9RlgRbKaosHCQ/o.jpg,False,"{'address1': '1595 E Sumner St', 'address2': 'Ste 103', 'address3': None, 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['1595 E Sumner St', 'Ste 103', 'Hartford, WI 53027']}",Ichiban Japanese Sushi&Steak House,+12624572288,$$,4.0,19,[],https://www.yelp.com/biz/ichiban-japanese-sushi-and-steak-house-hartford-5?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
m-j-stevens-pub-n-restaurant-hartford,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 43.38219, 'longitude': -88.30811}",(262) 644-6037,8586.61050912287,AvV1d_RYshEAW3FdPzN7IQ,https://s3-media1.fl.yelpcdn.com/bphoto/D3JOSGd79lQsCDxoJs5Rlw/o.jpg,False,"{'address1': '5260 Aurora Rd', 'address2': '', 'address3': '', 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['5260 Aurora Rd', 'Hartford, WI 53027']}",M J Stevens Pub-N-Restaurant,+12626446037,$$,4.0,62,[],https://www.yelp.com/biz/m-j-stevens-pub-n-restaurant-hartford?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
angee-bz-subs-hartford-2,"[{'alias': 'wraps', 'title': 'Wraps'}]","{'latitude': 43.31746, 'longitude': -88.38839}",(262) 670-6996,1714.5468424841229,g8g3CYBVMTuLFpWgqIqoIw,https://s3-media1.fl.yelpcdn.com/bphoto/atTQsCFF58d__cg01N22Rg/o.jpg,False,"{'address1': '625 W Sumner St', 'address2': 'Ste 700', 'address3': '', 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['625 W Sumner St', 'Ste 700', 'Hartford, WI 53027']}",Angee B'z Subs,+12626706996,$,4.5,18,[],https://www.yelp.com/biz/angee-bz-subs-hartford-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-slinger-house-pub-and-grille-slinger,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 43.3345486968756, 'longitude': -88.2851531356573}",(262) 644-8518,6880.046753115999,ThyBSJa19anhWabhDmwgUA,https://s3-media1.fl.yelpcdn.com/bphoto/1FgSynkfyvX5cbxtvtG67A/o.jpg,False,"{'address1': '100 W Washington St', 'address2': None, 'address3': '', 'city': 'Slinger', 'zip_code': '53086', 'country': 'US', 'state': 'WI', 'display_address': ['100 W Washington St', 'Slinger, WI 53086']}",The Slinger House Pub & Grille,+12626448518,$$,4.0,46,[],https://www.yelp.com/biz/the-slinger-house-pub-and-grille-slinger?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
casa-tequila-hartford,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 43.3174971527565, 'longitude': -88.3447390794754}",(262) 673-9999,1814.4881152296018,J5OU1Z9IgtWOc6v-utGDYQ,https://s3-media3.fl.yelpcdn.com/bphoto/k-vax9gBKR0f491OKw5WZg/o.jpg,False,"{'address1': '3461 High Rd', 'address2': '', 'address3': '', 'city': 'Hartford', 'zip_code': '53027', 'country': 'US', 'state': 'WI', 'display_address': ['3461 High Rd', 'Hartford, WI 53027']}",Casa Tequila,+12626739999,$$,3.5,36,[],https://www.yelp.com/biz/casa-tequila-hartford?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
