alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
piloras-cafe-oshkosh-2,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.02859, 'longitude': -88.5372}",(920) 233-5565,3714.114069155546,e7-bHwIuDvUAFOhEI9E_jg,https://s3-media2.fl.yelpcdn.com/bphoto/DgLV7-rhTmxUZHqZ4dTmtQ/o.jpg,False,"{'address1': '910 N Main St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['910 N Main St', 'Oshkosh, WI 54901']}",Pilora's Cafe,+19202335565,$,4.5,97,[],https://www.yelp.com/biz/piloras-cafe-oshkosh-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
gardinas-wine-bar-and-cafe-oshkosh,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.0184138914254, 'longitude': -88.5374561339144}",(920) 231-3516,4815.653029669703,st3nu6XNYyPZs3UQTCsTDQ,https://s3-media2.fl.yelpcdn.com/bphoto/jvdpqb96caP89x-lpc-Qug/o.jpg,False,"{'address1': '448 N Main St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['448 N Main St', 'Oshkosh, WI 54901']}",Gardina's Wine Bar & Cafe,+19202313516,$$,4.5,100,[],https://www.yelp.com/biz/gardinas-wine-bar-and-cafe-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
petes-garage-bar-oshkosh,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.0042520314455, 'longitude': -88.5424473881721}",(920) 235-9897,6456.443166951208,Ak6md5ATL1Bb4r4jAL5QXg,https://s3-media1.fl.yelpcdn.com/bphoto/p5mIxUow1tsOMVYjOJBJPg/o.jpg,False,"{'address1': '1514 Oregon St', 'address2': None, 'address3': None, 'city': 'Oshkosh', 'zip_code': '54902', 'country': 'US', 'state': 'WI', 'display_address': ['1514 Oregon St', 'Oshkosh, WI 54902']}",Pete's Garage Bar,+19202359897,$,4.5,94,[],https://www.yelp.com/biz/petes-garage-bar-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
leons-frozen-custard-oshkosh,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.0393621474504, 'longitude': -88.5392394661903}",(920) 231-7755,2667.172186283909,mdkeK8iFW1vlWyr_gbTBVw,https://s3-media2.fl.yelpcdn.com/bphoto/srEZArN0-fEQYUdP4g2CZg/o.jpg,False,"{'address1': '121 W Murdock Ave', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['121 W Murdock Ave', 'Oshkosh, WI 54901']}",Leon's Frozen Custard,+19202317755,$,4.5,45,[],https://www.yelp.com/biz/leons-frozen-custard-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
zaronis-oshkosh,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.0466, 'longitude': -88.5433}",(920) 651-1919,2109.277219657624,cAtGH-JoyGK8sLEB4kA64Q,https://s3-media3.fl.yelpcdn.com/bphoto/vscHcYxVyxyUKrJ-Kcwl_Q/o.jpg,False,"{'address1': '2407 Jackson St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['2407 Jackson St', 'Oshkosh, WI 54901']}",Zaronis,+19206511919,$,4.0,50,"['delivery', 'pickup']",https://www.yelp.com/biz/zaronis-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
mahoneys-restaurant-and-bar-oshkosh-2,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.0187607653268, 'longitude': -88.5493941761855}",(920) 230-3737,5051.788491369552,Quq8RuwB9NhbSc_k5uBm7A,https://s3-media3.fl.yelpcdn.com/bphoto/A1W67mBq9JzCbYCW8FF9eg/o.jpg,False,"{'address1': '30 Wisconsin St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['30 Wisconsin St', 'Oshkosh, WI 54901']}",Mahoney's Restaurant & Bar,+19202303737,$$,4.5,86,[],https://www.yelp.com/biz/mahoneys-restaurant-and-bar-oshkosh-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
chalice-oshkosh,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.0392498292732, 'longitude': -88.5379107668996}",(920) 233-4400,2595.4894059277976,6BK_qy68ffNxTKJDqVIxzg,https://s3-media2.fl.yelpcdn.com/bphoto/McOXgAZomg3h48t96_MSKA/o.jpg,False,"{'address1': '1741 N Main St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['1741 N Main St', 'Oshkosh, WI 54901']}",Chalice,+19202334400,$$,4.0,43,[],https://www.yelp.com/biz/chalice-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-roxy-supper-club-oshkosh,"[{'alias': 'supperclubs', 'title': 'Supper Clubs'}]","{'latitude': 44.0218685, 'longitude': -88.5378726}",(920) 231-1980,4446.553237949334,kCXw9Vcsp7ksvOh8Jio8Ng,https://s3-media3.fl.yelpcdn.com/bphoto/clX9PQnLGHiErikOEmwb1Q/o.jpg,False,"{'address1': '571 N Main St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['571 N Main St', 'Oshkosh, WI 54901']}",The Roxy Supper Club,+19202311980,$$,4.0,88,[],https://www.yelp.com/biz/the-roxy-supper-club-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
new-moon-coffee-company-oshkosh,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 44.0179199, 'longitude': -88.53768}",(920) 232-0976,4872.490457487212,LHBUDZjZU7KueQXmJGsfxg,https://s3-media3.fl.yelpcdn.com/bphoto/bKVvUCI0WOsrtIZKR82qaw/o.jpg,False,"{'address1': '401 N Main St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54901', 'country': 'US', 'state': 'WI', 'display_address': ['401 N Main St', 'Oshkosh, WI 54901']}",New Moon Coffee Company,+19202320976,$,4.0,49,[],https://www.yelp.com/biz/new-moon-coffee-company-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
la-riveras-mexican-grill-oshkosh,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.02661, 'longitude': -88.58094}",(920) 235-2220,5852.11014492269,_CTVqC8StGYpdxT8alcY8w,https://s3-media1.fl.yelpcdn.com/bphoto/S7yw8gdytCC6JdfuhIZfQA/o.jpg,False,"{'address1': '700 N Koeller St', 'address2': '', 'address3': '', 'city': 'Oshkosh', 'zip_code': '54902', 'country': 'US', 'state': 'WI', 'display_address': ['700 N Koeller St', 'Oshkosh, WI 54902']}",La Rivera's Mexican Grill,+19202352220,$$,4.0,51,"['delivery', 'pickup']",https://www.yelp.com/biz/la-riveras-mexican-grill-oshkosh?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
