alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
atlas-bbq-grafton,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]","{'latitude': 43.318297, 'longitude': -87.951446}",(262) 618-2181,1777.5723469601123,AFeh0iVbKQd6p1D8blfLxg,https://s3-media4.fl.yelpcdn.com/bphoto/InXRfhnTGzw_WhEO9D7IMw/o.jpg,False,"{'address1': '1304 12th Ave', 'address2': '', 'address3': '', 'city': 'Grafton', 'zip_code': '53024', 'country': 'US', 'state': 'WI', 'display_address': ['1304 12th Ave', 'Grafton, WI 53024']}",Atlas BBQ,+12626182181,$$,4.0,232,[],https://www.yelp.com/biz/atlas-bbq-grafton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
stilt-house-cedarburg,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 43.2983713, 'longitude': -87.9879768}",(262) 618-4889,5459.048616357009,wz1IbYPLTtI2_KcaQnGDng,https://s3-media4.fl.yelpcdn.com/bphoto/FO1qsiXrBUVvpG3WqMHdCw/o.jpg,False,"{'address1': 'W62 N630 Washington Ave', 'address2': '', 'address3': '', 'city': 'Cedarburg', 'zip_code': '53012', 'country': 'US', 'state': 'WI', 'display_address': ['W62 N630 Washington Ave', 'Cedarburg, WI 53012']}",Stilt House,+12626184889,$$,4.0,213,[],https://www.yelp.com/biz/stilt-house-cedarburg?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
milwaukee-ale-house-grafton-grafton-2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 43.31959, 'longitude': -87.95021}",(262) 375-2337,1613.2365570703996,gbAap2BpOCvCUjDou_uUrw,https://s3-media3.fl.yelpcdn.com/bphoto/zM7eT8Mj3vTN42Z0zSWEog/o.jpg,False,"{'address1': '1208 13th Ave', 'address2': '', 'address3': '', 'city': 'Grafton', 'zip_code': '53024', 'country': 'US', 'state': 'WI', 'display_address': ['1208 13th Ave', 'Grafton, WI 53024']}",Milwaukee Ale House - Grafton,+12623752337,$$,3.5,125,[],https://www.yelp.com/biz/milwaukee-ale-house-grafton-grafton-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
pj-piper-pancake-house-cedarburg,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.2944207126678, 'longitude': -87.9865722265914}",(262) 421-8040,5666.1130419640485,oSDxh_TJbuanuxi5XxdsBw,https://s3-media2.fl.yelpcdn.com/bphoto/hEyhVRb5N_CX0yskGmxXdw/o.jpg,False,"{'address1': 'W61 N514 Washington Ave', 'address2': '', 'address3': '', 'city': 'Cedarburg', 'zip_code': '53012', 'country': 'US', 'state': 'WI', 'display_address': ['W61 N514 Washington Ave', 'Cedarburg, WI 53012']}",PJ Piper Pancake House,+12624218040,$,4.0,110,[],https://www.yelp.com/biz/pj-piper-pancake-house-cedarburg?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
twisted-willow-port-washington-2,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 43.389777, 'longitude': -87.869128}",(262) 268-7600,8597.25610983425,_JxVTsGXObBySb8wvHp73g,https://s3-media2.fl.yelpcdn.com/bphoto/-fVWa3U0-mVNS8vhNs27YA/o.jpg,False,"{'address1': '308 N Franklin St', 'address2': '', 'address3': '', 'city': 'Port Washington', 'zip_code': '53074', 'country': 'US', 'state': 'WI', 'display_address': ['308 N Franklin St', 'Port Washington, WI 53074']}",Twisted Willow,+12622687600,$$,4.5,160,[],https://www.yelp.com/biz/twisted-willow-port-washington-2?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-farmstead-cedarburg,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 43.284187, 'longitude': -87.985217}",(262) 375-2655,6436.271241828879,rUY3YpKFHFB2GkZd72qZTQ,https://s3-media3.fl.yelpcdn.com/bphoto/oFrr8CIxlZoXMDSj4r7XoQ/o.jpg,False,"{'address1': 'W 62 N 238 Washington Ave', 'address2': '', 'address3': '', 'city': 'Cedarburg', 'zip_code': '53012', 'country': 'US', 'state': 'WI', 'display_address': ['W 62 N 238 Washington Ave', 'Cedarburg, WI 53012']}",The Farmstead,+12623752655,$$,4.5,108,[],https://www.yelp.com/biz/the-farmstead-cedarburg?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
flipside-cafe-and-grill-grafton,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 43.32095, 'longitude': -87.93593}",(262) 474-0140,982.5459816766131,_oVM7auvr3hhUqCP6hqndA,https://s3-media3.fl.yelpcdn.com/bphoto/gAx64m35shf3Dob-0L-F6Q/o.jpg,False,"{'address1': '2074 Washington St', 'address2': None, 'address3': None, 'city': 'Grafton', 'zip_code': '53024', 'country': 'US', 'state': 'WI', 'display_address': ['2074 Washington St', 'Grafton, WI 53024']}",Flipside Cafe & Grill,+12624740140,$$,3.5,61,[],https://www.yelp.com/biz/flipside-cafe-and-grill-grafton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
colectivo-coffee-roasters-grafton,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 43.3197658001752, 'longitude': -87.9511644852806}",(262) 377-5183,1648.72273245707,heaJhheuGf70Jwm0Ml7Smg,https://s3-media2.fl.yelpcdn.com/bphoto/BXgf20ZSyeGHrRvbLajCDQ/o.jpg,False,"{'address1': '1211 Washington St', 'address2': '', 'address3': '', 'city': 'Grafton', 'zip_code': '53024', 'country': 'US', 'state': 'WI', 'display_address': ['1211 Washington St', 'Grafton, WI 53024']}",Colectivo Coffee Roasters,+12623775183,$$,4.5,19,[],https://www.yelp.com/biz/colectivo-coffee-roasters-grafton?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
cedarburg-coffee-roastery-cedarburg,"[{'alias': 'coffeeroasteries', 'title': 'Coffee Roasteries'}]","{'latitude': 43.2975577661351, 'longitude': -87.9880538134918}",(262) 375-4321,5521.858289108574,P7y5zNmJ68cdzoIaSV9mpw,https://s3-media1.fl.yelpcdn.com/bphoto/bFJl-G0ITOY5ADJ4ttnbLg/o.jpg,False,"{'address1': 'W62 N603 Washington Ave', 'address2': '', 'address3': '', 'city': 'Cedarburg', 'zip_code': '53012', 'country': 'US', 'state': 'WI', 'display_address': ['W62 N603 Washington Ave', 'Cedarburg, WI 53012']}",Cedarburg Coffee Roastery,+12623754321,$,4.5,47,[],https://www.yelp.com/biz/cedarburg-coffee-roastery-cedarburg?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
daily-baking-company-port-washington,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.3888847, 'longitude': -87.8694329}",(262) 268-9994,8504.714013077646,cl8IWmLWSUuUIMNzkzwSCA,https://s3-media4.fl.yelpcdn.com/bphoto/R0uSf90ZB7PQfwS-lFJKCw/o.jpg,False,"{'address1': '211 N Franklin St', 'address2': None, 'address3': '', 'city': 'Port Washington', 'zip_code': '53074', 'country': 'US', 'state': 'WI', 'display_address': ['211 N Franklin St', 'Port Washington, WI 53074']}",Daily Baking Company,+12622689994,$$,4.5,73,[],https://www.yelp.com/biz/daily-baking-company-port-washington?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
