alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
the-old-fashioned-madison,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 43.0761862475496, 'longitude': -89.3837572171967}",(608) 310-4545,4513.71100918285,RJNAeNA-209sctUO0dmwuA,https://s3-media2.fl.yelpcdn.com/bphoto/4gG5pDklFegQVUGfsGhdUA/o.jpg,False,"{'address1': '23 N Pinckney St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['23 N Pinckney St', 'Madison, WI 53703']}",The Old Fashioned,+16083104545,$$,4.0,1699,"['delivery', 'pickup']",https://www.yelp.com/biz/the-old-fashioned-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
graze-madison,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 43.0750940450292, 'longitude': -89.3820914576721}",(608) 251-2700,4383.519857080884,XmsBtCykUtObXg4Q1mYpvg,https://s3-media3.fl.yelpcdn.com/bphoto/s0dHvxi44gZ4TLsCsBuUbw/o.jpg,False,"{'address1': '1 S Pinckney St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['1 S Pinckney St', 'Madison, WI 53703']}",Graze,+16082512700,$$,4.0,1070,[],https://www.yelp.com/biz/graze-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
marigold-kitchen-madison,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.07394, 'longitude': -89.3815599}",(608) 661-5559,4272.8961927339005,BuS11AF9XSHEShscxQEzeg,https://s3-media2.fl.yelpcdn.com/bphoto/eZ7GOF9HQdA72ze1vnHRKA/o.jpg,False,"{'address1': '118 S Pinckney St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['118 S Pinckney St', 'Madison, WI 53703']}",Marigold Kitchen,+16086615559,$$,4.0,591,[],https://www.yelp.com/biz/marigold-kitchen-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
taqueria-guadalajara-madison,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 43.05563, 'longitude': -89.39729}",(608) 250-1824,2654.66800816496,S3-JpB5dBhMXmauMqeoN-g,https://s3-media1.fl.yelpcdn.com/bphoto/mCYKlfPvbA0B4IivmxBBFg/o.jpg,False,"{'address1': '1033 S Park St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53715', 'country': 'US', 'state': 'WI', 'display_address': ['1033 S Park St', 'Madison, WI 53715']}",Taqueria Guadalajara,+16082501824,$,4.0,370,"['delivery', 'pickup']",https://www.yelp.com/biz/taqueria-guadalajara-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
pauls-pelmeni-madison,"[{'alias': 'russian', 'title': 'Russian'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 43.074503, 'longitude': -89.394115}",(608) 467-3234,4477.279762586633,K75oPh837az2upKWPS2LUQ,https://s3-media1.fl.yelpcdn.com/bphoto/qrdxSqrI5S2OlQuJMGQCVw/o.jpg,False,"{'address1': '414 W Gilman St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['414 W Gilman St', 'Madison, WI 53703']}",Paul's Pel'meni,+16084673234,$,4.5,421,"['delivery', 'pickup']",https://www.yelp.com/biz/pauls-pelmeni-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
heritage-tavern-madison,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 43.0768340202013, 'longitude': -89.3832337316105}",(608) 283-9500,4582.324812616912,sXYkjcuGhtaYP8yeQPaHgA,https://s3-media2.fl.yelpcdn.com/bphoto/Rn3rWzQhpXQOIrgydb0wsw/o.jpg,False,"{'address1': '131 E Mifflin St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['131 E Mifflin St', 'Madison, WI 53703']}",Heritage Tavern,+16082839500,$$$,4.5,394,['restaurant_reservation'],https://www.yelp.com/biz/heritage-tavern-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
tornado-steak-house-madison,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 43.07243, 'longitude': -89.38434}",(608) 256-3570,4102.020838583125,ewEDv_q-K0fV0FepkHB8sA,https://s3-media1.fl.yelpcdn.com/bphoto/DclhVZPciJ-dtNawdmMnfQ/o.jpg,False,"{'address1': '116 S Hamilton St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['116 S Hamilton St', 'Madison, WI 53703']}",Tornado Steak House,+16082563570,$$$,4.0,490,[],https://www.yelp.com/biz/tornado-steak-house-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
dotty-dumplings-dowry-madison,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'latitude': 43.07285, 'longitude': -89.3955299}",(608) 259-0000,4331.699136036562,LZ_R2OLgZQSQMMzlp8uUOA,https://s3-media3.fl.yelpcdn.com/bphoto/fYaCIR5bEcZLrpraoECwhQ/o.jpg,False,"{'address1': '317 N Frances St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['317 N Frances St', 'Madison, WI 53703']}",Dotty Dumpling's Dowry,+16082590000,$$,4.0,511,[],https://www.yelp.com/biz/dotty-dumplings-dowry-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
graft-madison,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 43.07421, 'longitude': -89.38627}",(608) 229-8800,4315.245624789794,vR5Hppx__U_VXObK8VPLOw,https://s3-media1.fl.yelpcdn.com/bphoto/0vTPHFm4N-plaOIbC30JWg/o.jpg,False,"{'address1': '18 N Carroll St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53703', 'country': 'US', 'state': 'WI', 'display_address': ['18 N Carroll St', 'Madison, WI 53703']}",Graft,+16082298800,$$$,4.5,334,['restaurant_reservation'],https://www.yelp.com/biz/graft-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
pizza-brutta-madison,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 43.06512, 'longitude': -89.41629}",(608) 257-2120,4450.510609868967,kPr9rYEkGwbRLgUHvKljQQ,https://s3-media3.fl.yelpcdn.com/bphoto/6LvYWQo2US13-fAmiMltIw/o.jpg,False,"{'address1': '1805 Monroe St', 'address2': '', 'address3': '', 'city': 'Madison', 'zip_code': '53711', 'country': 'US', 'state': 'WI', 'display_address': ['1805 Monroe St', 'Madison, WI 53711']}",Pizza Brutta,+16082572120,$$,4.5,316,"['delivery', 'pickup']",https://www.yelp.com/biz/pizza-brutta-madison?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
